Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918141  9829535 | 1306047       0        0     nan |  0.000 % |
|       109 | 3918142  9829535 | 1436651     108    28583   264.7 |  8.605 % |
|       260 | 3918149  9829535 | 1580316     251    43608   173.7 |  8.605 % |
|       485 | 3918152  9829535 | 1738348     472   183898   389.6 |  8.605 % |
|       823 | 3918153  9829535 | 1912183     809   237268   293.3 |  8.605 % |
|      1333 | 3918157  9829535 | 2103401    1314   398400   303.2 |  8.606 % |
|      2094 | 3918182  9829535 | 2313741    2048   512547   250.3 |  8.607 % |
|      3236 | 3918198  9829535 | 2545116    3172  1860847   586.6 |  8.607 % |
|      4948 | 3918075  9829322 | 2799627    4844  2685504   554.4 |  8.607 % |
|      7510 | 3918090  9829322 | 3079590    7390  4087498   553.1 |  8.607 % |
|     11354 | 3918120  9829313 | 3387549   11194  5785936   516.9 |  8.608 % |
|     17120 | 3918180  9829313 | 3726304   16900  8912769   527.4 |  8.608 % |
|     25769 | 3918241  9829280 | 4098934   25460 13529230   531.4 |  9.435 % |
|     38744 | 3887941  9782994 | 4508828   38039 17317277   455.3 |  9.444 % |
|     58206 | 3887777  9782643 | 4959711   57338 28243287   492.6 |  9.444 % |
|     87399 | 3887832  9782580 | 5455682   86419 51619559   597.3 |  9.445 % |
|    131191 | 3887889  9782508 | 6001250  130070 92657168   712.4 |  9.448 % |
|    196875 | 3888012  9782445 | 6601375  195502 146269985   748.2 |  9.454 % |
|    295403 | 3887767  9781971 | 7261513  293748 223266228   760.1 |  9.457 % |
|    443194 | 3886568  9779928 | 7987664  440940 325210402   737.5 |  9.505 % |
|    664877 | 3885392  9777972 | 8786431  661818 497105763   751.1 |  9.552 % |
|    997405 | 3879718  9769916 | 9665074  992571 788446837   794.3 |  9.701 % |
