Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915820  9825346 | 1305273       0        0     nan |  0.000 % |
|       109 | 3915821  9825346 | 1435800     108    28583   264.7 |  8.669 % |
|       259 | 3915827  9825346 | 1579380     251    35385   141.0 |  8.669 % |
|       492 | 3915830  9825346 | 1737318     481    93093   193.5 |  8.669 % |
|       830 | 3915836  9825346 | 1911050     813   169701   208.7 |  8.669 % |
|      1339 | 3915841  9825346 | 2102155    1317   320104   243.1 |  8.669 % |
|      2099 | 3915843  9825346 | 2312370    2073   511734   246.9 |  8.669 % |
|      3238 | 3915882  9825346 | 2543607    3173   899123   283.4 |  8.669 % |
|      4946 | 3915904  9825328 | 2797968    4840  1549773   320.2 |  8.669 % |
|      7508 | 3915917  9825319 | 3077765    7374  2397043   325.1 |  8.669 % |
|     11354 | 3915969  9825319 | 3385542   11165  3858508   345.6 |  8.670 % |
|     17120 | 3915980  9825274 | 3724096   16881  6604021   391.2 |  8.670 % |
|     25769 | 3916107  9825274 | 4096505   25393 10911361   429.7 |  8.671 % |
|     38744 | 3916201  9825238 | 4506156   38246 21478025   561.6 |  8.671 % |
|     58208 | 3916233  9825238 | 4956772   57678 36347445   630.2 |  8.671 % |
|     87402 | 3916367  9825238 | 5452449   86725 53789727   620.2 |  8.673 % |
|    131193 | 3916410  9825109 | 5997694  130310 94513907   725.3 |  8.673 % |
|    196879 | 3916454  9824956 | 6597463  195784 139707646   713.6 |  8.675 % |
|    295406 | 3916824  9824902 | 7257209  293886 196110202   667.3 |  8.676 % |
|    443195 | 3916742  9824386 | 7982930  441246 307649878   697.2 |  8.684 % |
|    664878 | 3917037  9824269 | 8781224  662436 479763600   724.2 |  8.688 % |
|    997404 | 3917228  9824152 | 9659346  994606 758306381   762.4 |  8.690 % |
