Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916497  9826228 | 1305499       0        0     nan |  0.000 % |
|       109 | 3916498  9826228 | 1436048     108    28583   264.7 |  8.666 % |
|       260 | 3916502  9826228 | 1579653     254    56295   221.6 |  8.666 % |
|       487 | 3916508  9826228 | 1737619     475   121205   255.2 |  8.666 % |
|       824 | 3916509  9826228 | 1911381     811   174065   214.6 |  8.666 % |
|      1330 | 3916524  9826228 | 2102519    1302   276939   212.7 |  8.666 % |
|      2090 | 3916534  9826228 | 2312771    2051   629604   307.0 |  8.666 % |
|      3229 | 3916544  9826228 | 2544048    3180  1104187   347.2 |  8.666 % |
|      4940 | 3916552  9826210 | 2798453    4867  1935231   397.6 |  8.666 % |
|      7502 | 3916581  9826210 | 3078298    7399  2928190   395.8 |  8.666 % |
|     11347 | 3916579  9826165 | 3386128   11197  8612906   769.2 |  8.667 % |
|     17113 | 3916686  9826165 | 3724741   16852 11212815   665.4 |  8.667 % |
|     25763 | 3916735  9826129 | 4097215   25414 20988573   825.9 |  8.668 % |
|     38738 | 3916843  9826129 | 4506936   38281 25577364   668.1 |  8.668 % |
|     58202 | 3916986  9826084 | 4957630   57549 45628891   792.9 |  8.668 % |
|     87397 | 3917100  9826048 | 5453393   86583 69427808   801.9 |  8.670 % |
|    131187 | 3917120  9825931 | 5998732  130228 106073011   814.5 |  8.671 % |
|    196890 | 3917256  9825877 | 6598605  195714 146568208   748.9 |  8.672 % |
|    295418 | 3917109  9825538 | 7258466  294040 255975688   870.5 |  8.677 % |
|    443209 | 3917272  9825376 | 7984313  441478 376057406   851.8 |  8.680 % |
|    664896 | 3917537  9825295 | 8782744  662775 557932981   841.8 |  8.682 % |
|    997421 | 3917835  9825199 | 9661018  994814 848850115   853.3 |  8.685 % |
