Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918033  9829451 | 1306011       0        0     nan |  0.000 % |
|       109 | 3918034  9829451 | 1436612     108    28583   264.7 |  8.607 % |
|       259 | 3918043  9829451 | 1580273     247    39559   160.2 |  8.607 % |
|       485 | 3918045  9829451 | 1738300     471    86828   184.3 |  8.607 % |
|       824 | 3918048  9829451 | 1912130     807   144944   179.6 |  8.607 % |
|      1330 | 3918049  9829451 | 2103343    1312   509884   388.6 |  8.607 % |
|      2098 | 3918050  9829451 | 2313678    2079   800824   385.2 |  8.607 % |
|      3242 | 3918044  9829433 | 2545045    3207  1421258   443.2 |  8.607 % |
|      4951 | 3918064  9829433 | 2799550    4895  2106650   430.4 |  8.607 % |
|      7515 | 3918067  9829433 | 3079505    7456  8191731  1098.7 |  8.607 % |
|     11359 | 3918120  9829424 | 3387456   11238 10307453   917.2 |  8.608 % |
|     17128 | 3918193  9829406 | 3726201   16916 14023828   829.0 |  8.608 % |
|     25777 | 3918217  9829361 | 4098821   25497 18898760   741.2 |  8.608 % |
|     38758 | 3918308  9829343 | 4508704   38371 28272357   736.8 |  8.609 % |
|     58219 | 3918405  9829325 | 4959574   57709 42236189   731.9 |  8.611 % |
|     87412 | 3918333  9829136 | 5455532   86813 57125903   658.0 |  8.611 % |
|    131204 | 3918519  9829100 | 6001085  130365 85693107   657.3 |  8.613 % |
|    196888 | 3918280  9828665 | 6601193  195857 136283214   695.8 |  8.618 % |
|    295414 | 3887140  9781198 | 7261313  293444 212716755   724.9 |  9.478 % |
|    443208 | 3887012  9780553 | 7987444  440728 321711455   730.0 |  9.493 % |
|    664891 | 3885896  9779040 | 8786188  661881 496639059   750.3 |  9.524 % |
|    997420 | 3885981  9778476 | 9664807  993784 780026850   784.9 |  9.554 % |
