Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918539  9829563 | 1306179       0        0     nan |  0.000 % |
|       109 | 3918540  9829563 | 1436796     108    28583   264.7 |  8.597 % |
|       259 | 3918549  9829563 | 1580476     247    39559   160.2 |  8.597 % |
|       484 | 3918552  9829563 | 1738524     469    79507   169.5 |  8.597 % |
|       821 | 3918563  9829563 | 1912376     795   209663   263.7 |  8.597 % |
|      1329 | 3918567  9829563 | 2103614    1298   501531   386.4 |  8.597 % |
|      2090 | 3918591  9829563 | 2313975    2034   745050   366.3 |  8.597 % |
|      3229 | 3918604  9829536 | 2545373    3126  1367186   437.4 |  8.597 % |
|      4940 | 3918619  9829536 | 2799910    4822  2410284   499.9 |  8.597 % |
|      7507 | 3918672  9829536 | 3079901    7335  3958500   539.7 |  8.598 % |
|     11359 | 3918680  9829536 | 3387891   11169  5648592   505.7 |  8.598 % |
|     17126 | 3918624  9829428 | 3726681   16876  8618810   510.7 |  8.599 % |
|     25776 | 3918662  9829419 | 4099349   25477 13677717   536.9 |  8.599 % |
|     38750 | 3918698  9829410 | 4509284   38406 21132073   550.2 |  8.600 % |
|     58211 | 3918718  9829329 | 4960212   57770 36250104   627.5 |  8.601 % |
|     87409 | 3918823  9829284 | 5456233   86811 57110723   657.9 |  8.602 % |
|    131200 | 3918856  9829203 | 6001857  130491 98017594   751.1 |  8.603 % |
|    196885 | 3918829  9828999 | 6602042  195959 154298027   787.4 |  8.606 % |
|    295412 | 3918780  9828696 | 7262247  294242 228057523   775.1 |  8.611 % |
|    443204 | 3918998  9828624 | 7988471  441723 341679473   773.5 |  8.612 % |
|    664888 | 3919178  9828582 | 8787319  663103 511593699   771.5 |  8.614 % |
|    997413 | 3919337  9828510 | 9666051  995313 788933795   792.6 |  8.616 % |
