Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913495  9822724 | 1304498       0        0     nan |  0.000 % |
|       109 | 3913496  9822724 | 1434947     108    28583   264.7 |  8.733 % |
|       262 | 3913500  9822724 | 1578442     256    58468   228.4 |  8.733 % |
|       492 | 3913505  9822724 | 1736286     480   127722   266.1 |  8.734 % |
|       836 | 3913507  9822724 | 1909915     821   284451   346.5 |  8.734 % |
|      1343 | 3913524  9822724 | 2100907    1310   347840   265.5 |  8.734 % |
|      2102 | 3913526  9822724 | 2310997    2067   665808   322.1 |  8.734 % |
|      3241 | 3913539  9822724 | 2542097    3192  2220419   695.6 |  8.734 % |
|      4949 | 3913542  9822697 | 2796307    4871  4508325   925.5 |  8.734 % |
|      7513 | 3913546  9822679 | 3075938    7407  6467759   873.2 |  8.734 % |
|     11359 | 3913596  9822679 | 3383531   11203  9205106   821.7 |  8.734 % |
|     17126 | 3913657  9822679 | 3721885   16909 14346292   848.4 |  8.734 % |
|     25780 | 3913702  9822670 | 4094073   25508 18877986   740.1 |  8.735 % |
|     38754 | 3913529  9822355 | 4503480   38354 26623484   694.2 |  8.738 % |
|     58215 | 3913672  9822328 | 4953828   57626 42277586   733.7 |  8.739 % |
|     87407 | 3913760  9822328 | 5449211   86727 56884282   655.9 |  8.740 % |
|    131197 | 3913882  9822223 | 5994133  130282 81611732   626.4 |  8.742 % |
|    196883 | 3914013  9822133 | 6593546  195727 120808925   617.2 |  9.158 % |
|    295411 | 3880140  9773084 | 7252901  277195 179785147   648.6 |  9.673 % |
|    443201 | 3879905  9772568 | 7978191  424540 291993864   687.8 |  9.685 % |
|    664891 | 3879951  9772334 | 8776010  645905 471366429   729.8 |  9.692 % |
|    997416 | 3877163  9768448 | 9653611  977687 746553845   763.6 |  9.767 % |
