Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918075  9829480 | 1306025       0        0     nan |  0.000 % |
|       109 | 3918076  9829480 | 1436627     108    28583   264.7 |  8.606 % |
|       260 | 3918083  9829480 | 1580290     251    43608   173.7 |  8.606 % |
|       485 | 3918086  9829480 | 1738319     472   192961   408.8 |  8.606 % |
|       825 | 3918090  9829480 | 1912151     808   240686   297.9 |  8.606 % |
|      1331 | 3918103  9829480 | 2103366    1301   537616   413.2 |  8.606 % |
|      2092 | 3918116  9829480 | 2313702    2047   857146   418.7 |  8.606 % |
|      3232 | 3918064  9829375 | 2545073    3177  1206333   379.7 |  8.607 % |
|      4940 | 3918075  9829375 | 2799580    4872  1949783   400.2 |  8.607 % |
|      7504 | 3918129  9829375 | 3079538    7380  2899001   392.8 |  8.607 % |
|     11350 | 3918152  9829342 | 3387492   11171  4723182   422.8 |  8.608 % |
|     17117 | 3918104  9829273 | 3726241   16925  9937404   587.1 |  8.608 % |
|     25768 | 3918184  9829273 | 4098865   25492 15790964   619.4 |  8.610 % |
|     38744 | 3918168  9829156 | 4508752   38361 24645390   642.5 |  8.610 % |
|     58205 | 3918271  9829093 | 4959627   57645 38147679   661.8 |  8.611 % |
|     87401 | 3918334  9829048 | 5455590   86729 67477214   778.0 |  8.612 % |
|    131191 | 3918484  9829030 | 6001149  130347 94819137   727.4 |  8.613 % |
|    196877 | 3918662  9828967 | 6601264  195770 145625738   743.9 |  8.614 % |
|    295403 | 3918688  9828517 | 7261391  293797 209222747   712.1 |  8.620 % |
|    443192 | 3919182  9828475 | 7987530  441024 368370861   835.3 |  9.626 % |
|    664880 | 3880708  9771949 | 8786283  660271 531759063   805.4 |  9.685 % |
|    997406 | 3878155  9768005 | 9664911  991774 798270542   804.9 |  9.718 % |
