Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915747  9825359 | 1305249       0        0     nan |  0.000 % |
|       109 | 3915748  9825359 | 1435773     108    28583   264.7 |  8.669 % |
|       265 | 3915757  9825359 | 1579351     253    42592   168.3 |  8.669 % |
|       491 | 3915768  9825359 | 1737286     468    99282   212.1 |  8.669 % |
|       831 | 3915774  9825359 | 1911015     801   164419   205.3 |  8.670 % |
|      1338 | 3915781  9825359 | 2102116    1300   401260   308.7 |  8.670 % |
|      2097 | 3915801  9825359 | 2312328    2039   584297   286.6 |  8.670 % |
|      3236 | 3915830  9825359 | 2543561    3147  1110342   352.8 |  8.670 % |
|      4944 | 3915819  9825323 | 2797917    4830  1783082   369.2 |  8.670 % |
|      7506 | 3915854  9825323 | 3077708    7357  3252453   442.1 |  8.670 % |
|     11354 | 3915896  9825305 | 3385479   11146  4914621   440.9 |  8.670 % |
|     17120 | 3915959  9825278 | 3724027   16819  8284899   492.6 |  8.671 % |
|     25773 | 3915985  9825260 | 4096430   25414 17930473   705.5 |  8.671 % |
|     38747 | 3916025  9825224 | 4506073   38299 24232064   632.7 |  8.672 % |
|     58216 | 3916108  9825179 | 4956680   57638 37868279   657.0 |  8.673 % |
|     87408 | 3916219  9825134 | 5452348   86670 60281246   695.5 |  8.674 % |
|    131198 | 3916301  9825080 | 5997583  130305 97025315   744.6 |  8.674 % |
|    196883 | 3916470  9824999 | 6597342  195718 147355913   752.9 |  8.676 % |
|    295410 | 3916631  9824945 | 7257076  294010 225414420   766.7 |  8.683 % |
|    443200 | 3916553  9824528 | 7982784  441437 345098477   781.8 |  8.684 % |
|    664883 | 3916673  9824381 | 8781062  662777 537693710   811.3 |  8.689 % |
|    997409 | 3916824  9824321 | 9659168  995025 812973910   817.0 |  8.692 % |
