Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915821  9825355 | 1305273       0        0     nan |  0.000 % |
|       109 | 3915822  9825355 | 1435800     108    28583   264.7 |  8.669 % |
|       259 | 3915828  9825355 | 1579380     251    35385   141.0 |  8.669 % |
|       492 | 3915831  9825355 | 1737318     481    93093   193.5 |  8.669 % |
|       829 | 3915839  9825355 | 1911050     810   174037   214.9 |  8.669 % |
|      1335 | 3915843  9825355 | 2102155    1312   619670   472.3 |  8.669 % |
|      2094 | 3915852  9825355 | 2312370    2060   853962   414.5 |  8.669 % |
|      3234 | 3915850  9825328 | 2543607    3177  1307544   411.6 |  8.669 % |
|      4942 | 3915877  9825328 | 2797968    4856  2223623   457.9 |  8.670 % |
|      7511 | 3915892  9825301 | 3077765    7387  3880060   525.3 |  8.670 % |
|     11355 | 3915927  9825301 | 3385542   11194  4970541   444.0 |  8.670 % |
|     17122 | 3915950  9825283 | 3724096   16918  9354928   553.0 |  8.670 % |
|     25771 | 3915955  9825220 | 4096505   25497 13902194   545.2 |  8.671 % |
|     38747 | 3916031  9825220 | 4506156   38396 22117166   576.0 |  8.671 % |
|     58212 | 3916114  9825166 | 4956772   57724 36443223   631.3 |  8.672 % |
|     87404 | 3916224  9825112 | 5452449   86750 57791767   666.2 |  8.675 % |
|    131193 | 3916170  9824941 | 5997694  130397 87890270   674.0 |  8.676 % |
|    196877 | 3916440  9824869 | 6597463  195720 132045794   674.7 |  8.678 % |
|    295411 | 3916371  9824509 | 7257209  293974 200740917   682.9 |  8.683 % |
|    443205 | 3916615  9824428 | 7982930  441414 317425354   719.1 |  8.684 % |
|    664889 | 3916751  9824356 | 8781224  662820 512638755   773.4 |  8.686 % |
|    997415 | 3916930  9824266 | 9659346  995049 805960751   810.0 |  8.688 % |
