Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916704  9827903 | 1305568       0        0     nan |  0.000 % |
|       109 | 3916705  9827903 | 1436124     108    28583   264.7 |  8.641 % |
|       259 | 3916709  9827903 | 1579737     253    54741   216.4 |  8.641 % |
|       484 | 3916717  9827903 | 1737711     469    81434   173.6 |  8.641 % |
|       823 | 3916723  9827903 | 1911482     801   219577   274.1 |  8.641 % |
|      1329 | 3916739  9827903 | 2102630    1291   343082   265.7 |  8.641 % |
|      2088 | 3916748  9827903 | 2312893    2041  1981497   970.8 |  8.641 % |
|      3228 | 3916721  9827810 | 2544182    3161  3121622   987.5 |  8.641 % |
|      4937 | 3916739  9827810 | 2798600    4852  5060138  1042.9 |  8.641 % |
|      7499 | 3916757  9827764 | 3078461    7368  5790903   786.0 |  8.642 % |
|     11343 | 3916763  9827719 | 3386307   11162  8602428   770.7 |  8.642 % |
|     17109 | 3916821  9827719 | 3724937   16859 11360959   673.9 |  8.643 % |
|     25759 | 3916887  9827692 | 4097431   25395 14871002   585.6 |  8.643 % |
|     38734 | 3916928  9827620 | 4507174   38268 21252038   555.3 |  8.644 % |
|     58196 | 3917076  9827566 | 4957892   57526 33687233   585.6 |  8.645 % |
|     87398 | 3917147  9827485 | 5453681   86568 58845199   679.8 |  8.647 % |
|    131189 | 3917391  9827422 | 5999049  130043 90412660   695.3 |  8.648 % |
|    196873 | 3917507  9827386 | 6598954  195570 137344506   702.3 |  8.648 % |
|    295401 | 3917519  9827029 | 7258850  293717 211212992   719.1 |  8.654 % |
|    443190 | 3917748  9826975 | 7984735  441206 333703833   756.3 |  8.656 % |
|    664874 | 3917872  9826885 | 8783208  662606 530320486   800.4 |  8.658 % |
|    997400 | 3917972  9826735 | 9661529  994786 833146426   837.5 |  8.662 % |
