Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918540  9829555 | 1306180       0        0     nan |  0.000 % |
|       109 | 3918541  9829555 | 1436798     108    28583   264.7 |  8.596 % |
|       260 | 3918548  9829555 | 1580477     251    43608   173.7 |  8.596 % |
|       488 | 3918550  9829555 | 1738525     477   152071   318.8 |  8.596 % |
|       825 | 3918555  9829555 | 1912378     807   286848   355.4 |  8.596 % |
|      1331 | 3918556  9829555 | 2103615    1312   358431   273.2 |  8.596 % |
|      2101 | 3918560  9829555 | 2313977    2078  1275554   613.8 |  8.596 % |
|      3240 | 3918569  9829555 | 2545375    3208  2426004   756.2 |  8.596 % |
|      4948 | 3918564  9829528 | 2799912    4898  3350131   684.0 |  8.597 % |
|      7514 | 3918594  9829528 | 3079904    7433  4962871   667.7 |  8.597 % |
|     11360 | 3918610  9829501 | 3387894   11239  7508026   668.0 |  8.597 % |
|     17126 | 3918615  9829456 | 3726683   16963 15759322   929.0 |  8.597 % |
|     25775 | 3918676  9829456 | 4099352   25543 25872745  1012.9 |  8.598 % |
|     38750 | 3918752  9829447 | 4509287   38418 34748319   904.5 |  8.598 % |
|     58213 | 3918663  9829060 | 4960216   57568 45730932   794.4 |  8.603 % |
|     87406 | 3918740  9828937 | 5456238   86559 63760107   736.6 |  9.348 % |
|    131195 | 3890088  9784353 | 6001861  129815 79908949   615.6 |  9.359 % |
|    196879 | 3889699  9783258 | 6602047  194944 141579740   726.3 |  9.378 % |
|    295415 | 3890040  9783168 | 7262252  293030 285939583   975.8 |  9.380 % |
|    443204 | 3886857  9778646 | 7988478  439676 383990271   873.3 |  9.467 % |
|    664888 | 3886895  9778289 | 8787325  660948 552025856   835.2 |  9.474 % |
|    997415 | 3887171  9778082 | 9666058  992971 820345968   826.2 |  9.565 % |
