Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917974  9828329 | 1305991       0        0     nan |  0.000 % |
|       109 | 3917975  9828329 | 1436590     108    28583   264.7 |  8.614 % |
|       259 | 3917979  9828329 | 1580249     253    54741   216.4 |  8.614 % |
|       485 | 3917981  9828329 | 1738274     475   127652   268.7 |  8.616 % |
|       822 | 3917982  9828329 | 1912101     811   150842   186.0 |  8.616 % |
|      1328 | 3917992  9828329 | 2103311    1307   419617   321.1 |  8.616 % |
|      2088 | 3918014  9828329 | 2313642    2044   660417   323.1 |  8.616 % |
|      3232 | 3917961  9828302 | 2545006    3172  1427051   449.9 |  8.616 % |
|      4943 | 3917984  9828302 | 2799507    4856  1984496   408.7 |  8.616 % |
|      7505 | 3917963  9828248 | 3079458    7391  2469460   334.1 |  8.617 % |
|     11352 | 3918003  9828248 | 3387404   11197  6295583   562.3 |  8.618 % |
|     17121 | 3895029  9791530 | 3726144   15773  7499067   475.4 |  9.200 % |
|     25770 | 3895119  9791530 | 4098759   24331 13001130   534.3 |  9.209 % |
|     38745 | 3894669  9790750 | 4508635   37114 27827400   749.8 |  9.214 % |
|     58209 | 3894797  9790723 | 4959498   56408 43163057   765.2 |  9.214 % |
|     87401 | 3894906  9790687 | 5455448   85380 66278727   776.3 |  9.217 % |
|    131190 | 3894870  9790306 | 6000993  128935 99377686   770.8 |  9.222 % |
|    196876 | 3894777  9789991 | 6601092  194394 154143932   792.9 |  9.228 % |
|    295402 | 3895244  9789982 | 7261201  292422 213561653   730.3 |  9.229 % |
|    443192 | 3895339  9789787 | 7987322  439895 330017737   750.2 |  9.233 % |
|    664875 | 3894765  9788568 | 8786054  660741 519445965   786.2 |  9.253 % |
|    997400 | 3893312  9786588 | 9664659  992854 747610271   753.0 |  9.308 % |
