Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918535  9829567 | 1306178       0        0     nan |  0.000 % |
|       109 | 3918536  9829567 | 1436795     108    28583   264.7 |  8.597 % |
|       259 | 3918545  9829567 | 1580475     247    39559   160.2 |  8.597 % |
|       486 | 3918548  9829567 | 1738522     471    60593   128.6 |  8.597 % |
|       823 | 3918551  9829567 | 1912375     805   185630   230.6 |  8.597 % |
|      1329 | 3918558  9829567 | 2103612    1304   347921   266.8 |  8.597 % |
|      2088 | 3918571  9829567 | 2313974    2048   502538   245.4 |  8.598 % |
|      3228 | 3918583  9829567 | 2545371    3176   924816   291.2 |  8.598 % |
|      4936 | 3918579  9829531 | 2799908    4857  1637207   337.1 |  8.598 % |
|      7501 | 3918610  9829531 | 3079899    7390  2637761   356.9 |  8.598 % |
|     11347 | 3918628  9829426 | 3387889   11158  4789031   429.2 |  8.598 % |
|     17114 | 3918678  9829408 | 3726678   16855  9686118   574.7 |  8.599 % |
|     25765 | 3918714  9829372 | 4099346   25419 13808969   543.3 |  8.600 % |
|     38740 | 3918864  9829336 | 4509280   38204 20794719   544.3 |  8.600 % |
|     58205 | 3918920  9829318 | 4960208   57594 39297813   682.3 |  8.601 % |
|     87397 | 3918996  9829291 | 5456229   86661 61187408   706.1 |  8.601 % |
|    131186 | 3919104  9829246 | 6001852  130291 99285599   762.0 |  8.602 % |
|    196873 | 3919200  9829174 | 6602037  195792 156683736   800.3 |  8.604 % |
|    295399 | 3919061  9828766 | 7262241  294046 238390971   810.7 |  8.609 % |
|    443191 | 3889758  9783288 | 7988465  441001 357832852   811.4 |  9.386 % |
|    664874 | 3889884  9783180 | 8787312  662318 546298431   824.8 |  9.390 % |
|    997401 | 3889329  9782178 | 9666043  994366 831481933   836.2 |  9.436 % |
