Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913513  9822709 | 1304504       0        0     nan |  0.000 % |
|       109 | 3913514  9822709 | 1434954     108    28583   264.7 |  8.733 % |
|       259 | 3913520  9822709 | 1578449     251    35385   141.0 |  8.733 % |
|       492 | 3913523  9822709 | 1736294     481    93093   193.5 |  8.733 % |
|       829 | 3913529  9822709 | 1909924     811   204723   252.4 |  8.733 % |
|      1337 | 3913532  9822709 | 2100916    1314   282128   214.7 |  8.733 % |
|      2098 | 3913541  9822709 | 2311008    2066   553379   267.9 |  8.733 % |
|      3239 | 3913517  9822664 | 2542109    3195   972257   304.3 |  8.734 % |
|      4948 | 3913547  9822664 | 2796320    4874  1838427   377.2 |  8.734 % |
|      7512 | 3913565  9822664 | 3075952    7419  3847910   518.7 |  8.734 % |
|     11357 | 3913621  9822655 | 3383547   11200  6026730   538.1 |  8.734 % |
|     17123 | 3913637  9822646 | 3721902   16939 10134804   598.3 |  8.734 % |
|     25773 | 3913726  9822637 | 4094092   25492 13176854   516.9 |  8.734 % |
|     38763 | 3913716  9822520 | 4503501   38319 22229766   580.1 |  8.736 % |
|     58224 | 3913724  9822412 | 4953851   57636 40075696   695.3 |  9.175 % |
|     87417 | 3894716  9791409 | 5449236   86321 66426980   769.5 |  9.176 % |
|    131208 | 3894864  9791364 | 5994160  129900 101683503   782.8 |  9.177 % |
|    196892 | 3895211  9791328 | 6593576  195185 142214384   728.6 |  9.183 % |
|    295419 | 3895064  9790473 | 7252934  293116 214247434   730.9 |  9.193 % |
|    443210 | 3895424  9790290 | 7978227  440322 334827175   760.4 |  9.196 % |
|    664894 | 3895733  9790200 | 8776050  661581 518468859   783.7 |  9.210 % |
|    997420 | 3895173  9789267 | 9653655  993681 773267500   778.2 |  9.218 % |
