Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915736  9825569 | 1305245       0        0     nan |  0.000 % |
|       109 | 3915737  9825569 | 1435769     108    28583   264.7 |  8.671 % |
|       260 | 3915742  9825569 | 1579346     253    61840   244.4 |  8.671 % |
|       485 | 3915748  9825569 | 1737281     471   100480   213.3 |  8.671 % |
|       823 | 3915777  9825569 | 1911009     780   167400   214.6 |  8.671 % |
|      1330 | 3915786  9825569 | 2102110    1277   425358   333.1 |  8.671 % |
|      2089 | 3915813  9825569 | 2312321    2009   654410   325.7 |  8.671 % |
|      3228 | 3915825  9825569 | 2543553    3136  1688256   538.3 |  8.671 % |
|      4937 | 3915821  9825560 | 2797908    4835  4175310   863.6 |  8.671 % |
|      7499 | 3915840  9825560 | 3077699    7378  6435273   872.2 |  8.671 % |
|     11343 | 3915875  9825560 | 3385469   11182  8418248   752.8 |  8.671 % |
|     17114 | 3915938  9825560 | 3724016   16890 15358148   909.3 |  8.671 % |
|     25763 | 3915951  9825560 | 4096417   25521 31802785  1246.1 |  8.671 % |
|     38737 | 3916059  9825560 | 4506059   38377 41661342  1085.6 |  8.672 % |
|     58199 | 3916125  9825506 | 4956665   57718 57027429   988.0 |  8.672 % |
|     87392 | 3916145  9825335 | 5452332   86724 84302438   972.1 |  8.674 % |
|    131181 | 3916403  9825317 | 5997565  130221 112538483   864.2 |  8.676 % |
|    196866 | 3916468  9825173 | 6597322  195693 160969480   822.6 |  8.681 % |
|    295392 | 3916453  9824846 | 7257054  293909 240387746   817.9 |  8.683 % |
|    443181 | 3916681  9824729 | 7982759  441317 354467216   803.2 |  8.684 % |
|    664864 | 3916868  9824612 | 8781035  662635 536667622   809.9 |  8.687 % |
|    997390 | 3917253  9824558 | 9659139  994659 826932007   831.4 |  8.690 % |
