Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916504  9826224 | 1305501       0        0     nan |  0.000 % |
|       109 | 3916505  9826224 | 1436051     108    28583   264.7 |  8.665 % |
|       259 | 3916511  9826224 | 1579656     251    35385   141.0 |  8.665 % |
|       492 | 3916514  9826224 | 1737621     481    93093   193.5 |  8.665 % |
|       829 | 3916516  9826224 | 1911384     816   250362   306.8 |  8.665 % |
|      1335 | 3916524  9826224 | 2102522    1313   309252   235.5 |  8.665 % |
|      2094 | 3916536  9826224 | 2312774    2059   578640   281.0 |  8.665 % |
|      3234 | 3916542  9826224 | 2544052    3193  1235060   386.8 |  8.665 % |
|      4942 | 3916536  9826206 | 2798457    4889  2714744   555.3 |  8.665 % |
|      7504 | 3916574  9826206 | 3078303    7413  3515521   474.2 |  8.665 % |
|     11348 | 3916642  9826206 | 3386133   11186 15414802  1378.0 |  8.665 % |
|     17114 | 3916703  9826188 | 3724746   16875 19074557  1130.3 |  8.666 % |
|     25765 | 3916736  9826116 | 4097221   25429 23762842   934.5 |  8.667 % |
|     38739 | 3916862  9826116 | 4506943   38272 32917580   860.1 |  8.667 % |
|     58206 | 3916923  9825999 | 4957637   57554 46709557   811.6 |  8.669 % |
|     87399 | 3916980  9825936 | 5453401   86626 69489309   802.2 |  8.670 % |
|    131193 | 3917038  9825864 | 5998741  130274 102613381   787.7 |  8.671 % |
|    196881 | 3917349  9825837 | 6598616  195614 144863669   740.6 |  8.672 % |
|    295408 | 3917226  9825327 | 7258477  293761 214928453   731.6 |  8.679 % |
|    443199 | 3917399  9825300 | 7984325  441329 337649984   765.1 |  8.680 % |
|    664882 | 3917877  9825264 | 8782757  662420 498947420   753.2 |  8.682 % |
|    997407 | 3918105  9824973 | 9661033  994383 786030049   790.5 |  8.686 % |
