Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913439  9822728 | 1304479       0        0     nan |  0.000 % |
|       109 | 3913440  9822728 | 1434926     108    28583   264.7 |  8.734 % |
|       259 | 3913446  9822728 | 1578419     251    35385   141.0 |  8.734 % |
|       485 | 3913450  9822728 | 1736261     473    89597   189.4 |  8.734 % |
|       823 | 3913466  9822728 | 1909887     795   164407   206.8 |  8.734 % |
|      1329 | 3913473  9822728 | 2100876    1294   263281   203.5 |  8.734 % |
|      2088 | 3913487  9822728 | 2310964    2039   428628   210.2 |  8.734 % |
|      3228 | 3913495  9822728 | 2542060    3171   597008   188.3 |  8.734 % |
|      4936 | 3913509  9822719 | 2796266    4855  1236843   254.8 |  8.735 % |
|      7499 | 3913521  9822719 | 3075893    7406  2093286   282.6 |  8.735 % |
|     11345 | 3913613  9822701 | 3383482   11143  2908103   261.0 |  8.735 % |
|     17113 | 3913686  9822692 | 3721830   16828  5665963   336.7 |  8.735 % |
|     25762 | 3913705  9822674 | 4094013   25435 14864003   584.4 |  8.735 % |
|     38736 | 3913774  9822674 | 4503415   38331 25793275   672.9 |  8.735 % |
|     58198 | 3913854  9822665 | 4953756   57691 37001739   641.4 |  8.736 % |
|     87392 | 3913908  9822620 | 5449132   86766 57800090   666.2 |  8.737 % |
|    131181 | 3914089  9822593 | 5994045  130331 92449880   709.3 |  8.738 % |
|    196867 | 3914169  9822485 | 6593450  195807 142732871   728.9 |  8.742 % |
|    295397 | 3913917  9821957 | 7252795  294068 214544871   729.6 |  8.747 % |
|    443186 | 3914143  9821885 | 7978074  441523 330220770   747.9 |  8.749 % |
|    664870 | 3914347  9821858 | 8775882  662929 521390808   786.5 |  8.750 % |
|    997396 | 3914479  9821768 | 9653470  995141 813622229   817.6 |  8.753 % |
