Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917361  9827818 | 1305787       0        0     nan |  0.000 % |
|       109 | 3917362  9827818 | 1436365     108    28583   264.7 |  8.631 % |
|       260 | 3917366  9827818 | 1580002     254    56295   221.6 |  8.632 % |
|       485 | 3917368  9827818 | 1738002     477    82484   172.9 |  8.632 % |
|       822 | 3917378  9827818 | 1911802     804   259540   322.8 |  8.632 % |
|      1328 | 3917383  9827818 | 2102983    1305   383337   293.7 |  8.632 % |
|      2087 | 3917388  9827818 | 2313281    2059   606940   294.8 |  8.632 % |
|      3228 | 3917406  9827818 | 2544609    3181   978195   307.5 |  8.632 % |
|      4936 | 3917417  9827782 | 2799070    4844  1525396   314.9 |  8.632 % |
|      7499 | 3917439  9827758 | 3078977    7359  3062076   416.1 |  8.632 % |
|     11343 | 3917463  9827758 | 3386875   11178  4047845   362.1 |  8.633 % |
|     17109 | 3917530  9827749 | 3725562   16870  8982424   532.4 |  8.633 % |
|     25758 | 3917603  9827749 | 4098118   25441 12652074   497.3 |  8.633 % |
|     38732 | 3917649  9827713 | 4507930   38323 23166390   604.5 |  8.634 % |
|     58194 | 3917727  9827677 | 4958723   57661 33863951   587.3 |  8.634 % |
|     87386 | 3917905  9827641 | 5454596   86637 52475673   605.7 |  8.635 % |
|    131177 | 3918056  9827614 | 6000055  130243 95974929   736.9 |  8.635 % |
|    196864 | 3917958  9827077 | 6600061  195522 146146203   747.5 |  9.217 % |
|    295393 | 3895400  9790726 | 7260067  293364 226410948   771.8 |  9.218 % |
|    443185 | 3895309  9789949 | 7986074  440593 328796791   746.3 |  9.250 % |
|    664868 | 3890007  9782927 | 8784681  658841 487435506   739.8 |  9.366 % |
|    997394 | 3887873  9779568 | 9663150  990032 696260474   703.3 |  9.424 % |
