Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917224  9827699 | 1305741       0        0     nan |  0.000 % |
|       109 | 3917225  9827699 | 1436315     108    28583   264.7 |  8.634 % |
|       259 | 3917235  9827699 | 1579946     247    54923   222.4 |  8.634 % |
|       485 | 3917235  9827699 | 1737941     473    76721   162.2 |  8.634 % |
|       822 | 3917244  9827699 | 1911735     801   148066   184.9 |  8.634 % |
|      1328 | 3917265  9827699 | 2102908    1284   197725   154.0 |  8.634 % |
|      2087 | 3917278  9827699 | 2313199    2030   544955   268.5 |  8.634 % |
|      3226 | 3917288  9827699 | 2544519    3159  1295882   410.2 |  8.634 % |
|      4934 | 3917302  9827684 | 2798971    4838  1576751   325.9 |  8.634 % |
|      7496 | 3917326  9827684 | 3078868    7376  2634824   357.2 |  8.634 % |
|     11341 | 3917370  9827678 | 3386755   11171  4770828   427.1 |  8.634 % |
|     17108 | 3917433  9827678 | 3725431   16866  6924828   410.6 |  8.634 % |
|     25758 | 3917478  9827678 | 4097974   25467  9564575   375.6 |  8.636 % |
|     38733 | 3893610  9789502 | 4507772   36507 11480911   314.5 |  9.244 % |
|     58194 | 3893830  9789502 | 4958549   55746 25893310   464.5 |  9.244 % |
|     87387 | 3892950  9788185 | 5454404   84387 45258197   536.3 |  9.268 % |
|    131177 | 3893180  9788149 | 5999844  127888 76779710   600.4 |  9.269 % |
|    196861 | 3893232  9787996 | 6599829  193355 128888810   666.6 |  9.271 % |
|    295390 | 3893565  9787969 | 7259811  291508 205276040   704.2 |  9.272 % |
|    443179 | 3893884  9787906 | 7985793  438885 330854430   753.9 |  9.274 % |
|    664863 | 3894063  9787753 | 8784372  660197 511243728   774.4 |  9.277 % |
|    997395 | 3893512  9786724 | 9662809  992241 785769682   791.9 |  9.295 % |
