Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918141  9829528 | 1306047       0        0     nan |  0.000 % |
|       109 | 3918142  9829528 | 1436651     108    28583   264.7 |  8.605 % |
|       260 | 3918149  9829528 | 1580316     251    43608   173.7 |  8.605 % |
|       485 | 3918152  9829528 | 1738348     472   183898   389.6 |  8.605 % |
|       823 | 3918153  9829528 | 1912183     809   237268   293.3 |  8.605 % |
|      1333 | 3918156  9829528 | 2103401    1316   511801   388.9 |  8.605 % |
|      2093 | 3918173  9829528 | 2313741    2058   723973   351.8 |  8.605 % |
|      3232 | 3918194  9829528 | 2545116    3176  1109975   349.5 |  8.605 % |
|      4940 | 3918167  9829432 | 2799627    4864  2329431   478.9 |  8.605 % |
|      7502 | 3918190  9829432 | 3079590    7402  3308817   447.0 |  8.605 % |
|     11347 | 3918213  9829423 | 3387549   11214  5659154   504.7 |  8.606 % |
|     17113 | 3918222  9829396 | 3726304   16935 11275992   665.8 |  8.606 % |
|     25772 | 3918216  9829288 | 4098934   25494 15939754   625.2 |  8.608 % |
|     38746 | 3918322  9829288 | 4508828   38361 22767548   593.5 |  8.608 % |
|     58207 | 3888807  9783923 | 4959711   57573 32965493   572.6 |  9.424 % |
|     87400 | 3888863  9783878 | 5455682   86657 64207295   740.9 |  9.425 % |
|    131193 | 3888932  9783602 | 6001250  130222 118141710   907.2 |  9.428 % |
|    196878 | 3889019  9783470 | 6601375  195684 194212995   992.5 |  9.430 % |
|    295404 | 3889147  9783398 | 7261513  293973 268837878   914.5 |  9.433 % |
|    443197 | 3889399  9783353 | 7987664  441450 401191509   908.8 |  9.434 % |
|    664884 | 3889261  9782858 | 8786431  662774 579342074   874.1 |  9.440 % |
|    997409 | 3889401  9782684 | 9665074  994960 885393333   889.9 |  9.449 % |
