Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918537  9829559 | 1306179       0        0     nan |  0.000 % |
|       109 | 3918538  9829559 | 1436796     108    28583   264.7 |  8.596 % |
|       260 | 3918545  9829559 | 1580476     251    43608   173.7 |  8.596 % |
|       486 | 3918548  9829559 | 1738524     474   111152   234.5 |  8.596 % |
|       823 | 3918554  9829559 | 1912376     805   299798   372.4 |  8.596 % |
|      1329 | 3918561  9829559 | 2103614    1302   492060   377.9 |  8.597 % |
|      2089 | 3918571  9829559 | 2313975    2051   687094   335.0 |  8.597 % |
|      3235 | 3918548  9829532 | 2545373    3196  1086783   340.0 |  8.597 % |
|      4945 | 3918563  9829532 | 2799910    4891  1780132   364.0 |  8.597 % |
|      7507 | 3918571  9829505 | 3079901    7421  2242513   302.2 |  8.597 % |
|     11351 | 3918612  9829505 | 3387891   11218  4951860   441.4 |  8.598 % |
|     17118 | 3918610  9829451 | 3726681   16938  7519520   443.9 |  8.598 % |
|     25767 | 3918662  9829433 | 4099349   25513 14098054   552.6 |  8.598 % |
|     38743 | 3918744  9829406 | 4509284   38380 21918979   571.1 |  8.599 % |
|     58204 | 3918729  9829334 | 4960212   57792 40231725   696.1 |  8.600 % |
|     87400 | 3918912  9829298 | 5456233   86767 61818258   712.5 |  8.600 % |
|    131189 | 3919033  9829253 | 6001857  130379 95871779   735.3 |  8.601 % |
|    196875 | 3919394  9829190 | 6602042  195614 151868211   776.4 |  8.603 % |
|    295402 | 3919368  9828776 | 7262247  293711 225311612   767.1 |  8.612 % |
|    443191 | 3919466  9828617 | 7988471  441173 353665293   801.6 |  8.615 % |
|    664876 | 3919653  9828458 | 8787319  662444 542150284   818.4 |  8.618 % |
|    997407 | 3919864  9828395 | 9666051  994656 837825340   842.3 |  8.620 % |
