Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915736  9825576 | 1305245       0        0     nan |  0.000 % |
|       109 | 3915737  9825576 | 1435769     108    28583   264.7 |  8.671 % |
|       259 | 3915742  9825576 | 1579346     252    94614   375.5 |  8.671 % |
|       484 | 3915743  9825576 | 1737281     476   138791   291.6 |  8.671 % |
|       821 | 3915757  9825576 | 1911009     798   296162   371.1 |  8.671 % |
|      1338 | 3915767  9825576 | 2102110    1304   460490   353.1 |  8.671 % |
|      2098 | 3915773  9825576 | 2312321    2058   935460   454.5 |  8.671 % |
|      3237 | 3915794  9825576 | 2543553    3175  1191064   375.1 |  8.671 % |
|      4960 | 3915784  9825540 | 2797908    4880  2466467   505.4 |  8.671 % |
|      7522 | 3915826  9825540 | 3077699    7397  3233168   437.1 |  8.672 % |
|     11368 | 3915837  9825522 | 3385469   11214  7334808   654.1 |  8.672 % |
|     17134 | 3915912  9825522 | 3724016   16897 10293305   609.2 |  8.672 % |
|     25783 | 3915965  9825495 | 4096417   25459 14690763   577.0 |  8.673 % |
|     38762 | 3915965  9825432 | 4506059   38382 24764994   645.2 |  8.674 % |
|     58225 | 3915988  9825378 | 4956665   57772 40451656   700.2 |  8.674 % |
|     87420 | 3916031  9825252 | 5452332   86796 60517463   697.2 |  8.676 % |
|    131212 | 3916247  9825234 | 5997565  130334 94549323   725.4 |  8.678 % |
|    196898 | 3916311  9825153 | 6597322  195849 149605136   763.9 |  8.679 % |
|    295426 | 3916464  9825099 | 7257054  294132 227932292   774.9 |  8.680 % |
|    443215 | 3916402  9824691 | 7982759  441577 347460400   786.9 |  8.687 % |
|    664899 | 3916566  9824550 | 8781035  662914 532885267   803.9 |  8.689 % |
|    997425 | 3916556  9824265 | 9659139  995041 824139950   828.2 |  8.695 % |
