Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915737  9825584 | 1305245       0        0     nan |  0.000 % |
|       109 | 3915738  9825584 | 1435769     108    28583   264.7 |  8.671 % |
|       259 | 3915743  9825584 | 1579346     252    94614   375.5 |  8.671 % |
|       484 | 3915744  9825584 | 1737281     476   138791   291.6 |  8.671 % |
|       822 | 3915758  9825584 | 1911009     799   296669   371.3 |  8.672 % |
|      1332 | 3915759  9825584 | 2102110    1308  1109340   848.1 |  8.672 % |
|      2091 | 3915774  9825584 | 2312321    2051  1274710   621.5 |  8.672 % |
|      3230 | 3891191  9785110 | 2543553    2346   558903   238.2 |  9.289 % |
|      4940 | 3891222  9785110 | 2797908    4025  1136909   282.5 |  9.289 % |
|      7502 | 3891145  9784972 | 3077699    6530  2403784   368.1 |  9.297 % |
|     11346 | 3890745  9784525 | 3385469   10354  3370629   325.5 |  9.303 % |
|     17114 | 3890748  9784525 | 3724016   16118  4130017   256.2 |  9.303 % |
|     25763 | 3890797  9784489 | 4096417   24681  9344679   378.6 |  9.303 % |
|     38737 | 3890891  9784462 | 4506059   37533 16028524   427.1 |  9.304 % |
|     58198 | 3890968  9784381 | 4956665   56843 29351558   516.4 |  9.305 % |
|     87390 | 3891087  9784345 | 5452332   85862 51321698   597.7 |  9.306 % |
|    131179 | 3891135  9784231 | 5997565  129493 89680542   692.6 |  9.307 % |
|    196866 | 3891245  9784204 | 6597322  195016 142750667   732.0 |  9.308 % |
|    295392 | 3891480  9784159 | 7257054  293242 219625268   749.0 |  9.309 % |
|    443187 | 3891576  9784015 | 7982759  440775 335479920   761.1 |  9.312 % |
|    664871 | 3891772  9783970 | 8781035  662164 520941123   786.7 |  9.314 % |
|    997398 | 3891944  9783934 | 9659139  994438 827432937   832.1 |  9.315 % |
