Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917971  9828330 | 1305990       0        0     nan |  0.000 % |
|       109 | 3917972  9828330 | 1436589     108    28583   264.7 |  8.615 % |
|       260 | 3917976  9828330 | 1580247     254    56295   221.6 |  8.615 % |
|       485 | 3917978  9828330 | 1738272     477    82484   172.9 |  8.615 % |
|       824 | 3917979  9828330 | 1912099     815   236250   289.9 |  8.615 % |
|      1331 | 3917981  9828330 | 2103309    1319   252915   191.7 |  8.615 % |
|      2090 | 3917990  9828330 | 2313640    2069   456987   220.9 |  8.615 % |
|      3229 | 3918022  9828330 | 2545005    3176   946815   298.1 |  8.615 % |
|      4939 | 3918022  9828312 | 2799505    4868  1316939   270.5 |  8.615 % |
|      7502 | 3918040  9828303 | 3079456    7404  2204799   297.8 |  8.615 % |
|     11351 | 3918130  9828303 | 3387401   11162  3999884   358.3 |  8.615 % |
|     17118 | 3918173  9828294 | 3726141   16875  7718425   457.4 |  8.615 % |
|     25767 | 3918299  9828294 | 4098756   25392 15507843   610.7 |  8.616 % |
|     38742 | 3918303  9828231 | 4508631   38295 26950385   703.8 |  8.617 % |
|     58203 | 3918418  9828213 | 4959494   57613 44389277   770.5 |  8.617 % |
|     87395 | 3918480  9828168 | 5455444   86690 72799542   839.8 |  8.618 % |
|    131185 | 3918711  9828168 | 6000988  130249 102593109   787.7 |  8.618 % |
|    196869 | 3918822  9828042 | 6601087  195685 153201441   782.9 |  8.620 % |
|    295395 | 3919056  9827979 | 7261196  293897 236440268   804.5 |  8.626 % |
|    443185 | 3918856  9827499 | 7987316  441387 343906262   779.1 |  8.628 % |
|    664869 | 3896001  9790386 | 8786047  662486 538491523   812.8 |  9.216 % |
|    997394 | 3893436  9786999 | 9664652  994558 815391920   819.9 |  9.279 % |
