Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916531  9827752 | 1305510       0        0     nan |  0.000 % |
|       109 | 3916532  9827752 | 1436061     108    28583   264.7 |  8.646 % |
|       259 | 3916545  9827752 | 1579667     244    56232   230.5 |  8.646 % |
|       484 | 3916546  9827752 | 1737633     468   115418   246.6 |  8.646 % |
|       821 | 3916558  9827752 | 1911397     793   193494   244.0 |  8.646 % |
|      1328 | 3916569  9827752 | 2102536    1288   279653   217.1 |  8.646 % |
|      2088 | 3916577  9827752 | 2312790    2037   469393   230.4 |  8.647 % |
|      3227 | 3916616  9827752 | 2544069    3137  1468629   468.2 |  8.647 % |
|      4935 | 3916652  9827707 | 2798476    4774  2407888   504.4 |  8.647 % |
|      7498 | 3916667  9827707 | 3078324    7322  3114187   425.3 |  8.647 % |
|     11342 | 3887666  9784036 | 3386156   10984  4090789   372.4 |  9.451 % |
|     17111 | 3887653  9783985 | 3724772   16717  6031592   360.8 |  9.453 % |
|     25763 | 3887681  9783874 | 4097249   25246 10614418   420.4 |  9.453 % |
|     38741 | 3887681  9783751 | 4506974   38116 18423262   483.3 |  9.458 % |
|     58205 | 3886327  9781933 | 4957672   57400 25992034   452.8 |  9.495 % |
|     87398 | 3886399  9781897 | 5453439   86470 48448118   560.3 |  9.498 % |
|    131190 | 3885849  9780988 | 5998783  130044 82907832   637.5 |  9.516 % |
|    196875 | 3885676  9780652 | 6598661  195550 138280844   707.1 |  9.518 % |
|    295401 | 3885512  9779824 | 7258527  293494 203985023   695.0 |  9.549 % |
|    443198 | 3884550  9778411 | 7984380  441012 321331000   728.6 |  9.554 % |
|    664881 | 3884724  9778276 | 8782818  662327 491909319   742.7 |  9.565 % |
|    997410 | 3884679  9777841 | 9661100  994450 778987245   783.3 |  9.578 % |
