Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915785  9825595 | 1305261       0        0     nan |  0.000 % |
|       109 | 3915786  9825595 | 1435787     108    28583   264.7 |  8.669 % |
|       260 | 3915790  9825595 | 1579365     254    56295   221.6 |  8.669 % |
|       485 | 3915792  9825595 | 1737302     477    82484   172.9 |  8.669 % |
|       824 | 3915799  9825595 | 1911032     808   209167   258.9 |  8.669 % |
|      1330 | 3915803  9825595 | 2102135    1310   325598   248.5 |  8.669 % |
|      2091 | 3915818  9825595 | 2312349    2056   443138   215.5 |  8.669 % |
|      3230 | 3915824  9825595 | 2543584    3187  1168148   366.5 |  8.674 % |
|      4941 | 3915553  9825274 | 2797942    4863  1838163   378.0 |  8.674 % |
|      7504 | 3915589  9825274 | 3077737    7389  2928982   396.4 |  8.674 % |
|     11353 | 3915638  9825256 | 3385510   11173  5743145   514.0 |  8.674 % |
|     17120 | 3915669  9825238 | 3724061   16889 11283474   668.1 |  8.674 % |
|     25772 | 3915694  9825220 | 4096468   25491 18206061   714.2 |  8.675 % |
|     38746 | 3915715  9825148 | 4506114   38363 28896126   753.2 |  8.676 % |
|     58208 | 3915817  9825130 | 4956726   57690 42321003   733.6 |  8.677 % |
|     87407 | 3915841  9825040 | 5452399   86767 64901733   748.0 |  8.679 % |
|    131198 | 3915943  9824980 | 5997639  130383 98070735   752.2 |  8.680 % |
|    196886 | 3916075  9824863 | 6597402  195825 140119737   715.5 |  8.681 % |
|    295412 | 3916356  9824764 | 7257143  293956 223524117   760.4 |  8.685 % |
|    443211 | 3916448  9824575 | 7982857  441415 336186296   761.6 |  8.688 % |
|    664899 | 3916577  9824497 | 8781143  662867 532637827   803.5 |  8.690 % |
|    997426 | 3916826  9824461 | 9659257  995009 816865090   821.0 |  8.692 % |
