Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913494  9822716 | 1304498       0        0     nan |  0.000 % |
|       109 | 3913495  9822716 | 1434947     108    28583   264.7 |  8.733 % |
|       262 | 3913499  9822716 | 1578442     256    58468   228.4 |  8.733 % |
|       492 | 3913504  9822716 | 1736286     480   127722   266.1 |  8.733 % |
|       829 | 3913527  9822716 | 1909915     794   210690   265.4 |  8.733 % |
|      1339 | 3913529  9822716 | 2100907    1302   444236   341.2 |  8.733 % |
|      2098 | 3913536  9822716 | 2310997    2054   720190   350.6 |  8.733 % |
|      3241 | 3913552  9822698 | 2542097    3164  1122744   354.8 |  8.733 % |
|      4952 | 3913593  9822698 | 2796307    4833  1538345   318.3 |  8.733 % |
|      7514 | 3913628  9822698 | 3075938    7359  3369675   457.9 |  8.733 % |
|     11360 | 3913612  9822653 | 3383531   11175  5932796   530.9 |  8.734 % |
|     17126 | 3913713  9822653 | 3721885   16835  9168228   544.6 |  8.735 % |
|     25779 | 3913749  9822572 | 4094073   25373 16634740   655.6 |  8.735 % |
|     38755 | 3913785  9822554 | 4503480   38293 26754465   698.7 |  8.736 % |
|     58217 | 3913872  9822554 | 4953828   57662 41137788   713.4 |  8.736 % |
|     87409 | 3913960  9822509 | 5449211   86721 66185178   763.2 |  8.737 % |
|    131199 | 3914078  9822464 | 5994133  130330 117724204   903.3 |  8.737 % |
|    196883 | 3914163  9822401 | 6593546  195869 169374197   864.7 |  8.739 % |
|    295411 | 3914355  9822239 | 7252901  294000 253105545   860.9 |  8.742 % |
|    443200 | 3914250  9821861 | 7978191  441499 368521888   834.7 |  8.748 % |
|    664884 | 3914645  9821654 | 8776010  662528 522679954   788.9 |  8.752 % |
|    997412 | 3914830  9821564 | 9653611  994727 836954759   841.4 |  8.753 % |
