Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916929  9827786 | 1305643       0        0     nan |  0.000 % |
|       109 | 3916930  9827786 | 1436207     108    28583   264.7 |  8.638 % |
|       259 | 3916935  9827786 | 1579828     252    48264   191.5 |  8.638 % |
|       484 | 3916940  9827786 | 1737810     472   122069   258.6 |  8.638 % |
|       821 | 3916941  9827786 | 1911591     808   142827   176.8 |  8.638 % |
|      1328 | 3916948  9827786 | 2102751    1308   213066   162.9 |  8.638 % |
|      2088 | 3916952  9827777 | 2313026    2057   432927   210.5 |  8.638 % |
|      3228 | 3916996  9827777 | 2544328    3150   911380   289.3 |  9.334 % |
|      4936 | 3888919  9785352 | 2798761    4523   963259   213.0 |  9.373 % |
|      7499 | 3888950  9785352 | 3078637    7053  1755493   248.9 |  9.373 % |
|     11345 | 3888848  9785259 | 3386501   10890  2648898   243.2 |  9.373 % |
|     17111 | 3888852  9785241 | 3725151   16636  3797294   228.3 |  9.373 % |
|     25762 | 3888886  9785241 | 4097667   25253  9145732   362.2 |  9.373 % |
|     38736 | 3888632  9784836 | 4507433   38005 15178969   399.4 |  9.380 % |
|     58199 | 3888802  9784827 | 4958177   57277 25968032   453.4 |  9.380 % |
|     87393 | 3888990  9784719 | 5453994   86157 42580451   494.2 |  9.383 % |
|    131183 | 3888968  9784470 | 5999394  129755 81307986   626.6 |  9.386 % |
|    196870 | 3889072  9784380 | 6599333  195240 142786473   731.3 |  9.387 % |
|    295400 | 3889536  9784380 | 7259267  293293 197299600   672.7 |  9.418 % |
|    443189 | 3883478  9775745 | 7985193  439794 308024093   700.4 |  9.533 % |
|    664872 | 3883562  9775307 | 8783713  660937 495144731   749.2 |  9.561 % |
|    997397 | 3882435  9773230 | 9662084  992784 788056475   793.8 |  9.574 % |
