Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913507  9822703 | 1304502       0        0     nan |  0.000 % |
|       109 | 3913508  9822703 | 1434952     108    28583   264.7 |  8.733 % |
|       259 | 3913521  9822703 | 1578447     243    37844   155.7 |  8.733 % |
|       484 | 3913530  9822703 | 1736292     459    62673   136.5 |  8.733 % |
|       821 | 3913533  9822703 | 1909921     793   462463   583.2 |  8.733 % |
|      1327 | 3913538  9822703 | 2100913    1294   688836   532.3 |  8.733 % |
|      2086 | 3913548  9822703 | 2311004    2042   879383   430.6 |  8.733 % |
|      3227 | 3913553  9822703 | 2542105    3178  1787212   562.4 |  8.733 % |
|      4936 | 3913575  9822703 | 2796315    4864  2571464   528.7 |  8.733 % |
|      7515 | 3913573  9822676 | 3075947    7418  3489888   470.5 |  8.733 % |
|     11359 | 3913595  9822676 | 3383542   11240  5995399   533.4 |  8.733 % |
|     17128 | 3913612  9822658 | 3721896   16978  9323514   549.2 |  8.733 % |
|     25777 | 3913593  9822559 | 4094086   25535 12956761   507.4 |  8.735 % |
|     38753 | 3913644  9822523 | 4503494   38413 17497195   455.5 |  8.736 % |
|     58221 | 3913726  9822496 | 4953844   57759 41201919   713.3 |  8.736 % |
|     87415 | 3913860  9822478 | 5449228   86786 64946145   748.3 |  8.738 % |
|    131206 | 3914007  9822388 | 5994151  130346 94012238   721.3 |  8.742 % |
|    196890 | 3913846  9822019 | 6593566  195827 155231762   792.7 |  8.743 % |
|    295416 | 3914185  9822001 | 7252923  293964 234398348   797.4 |  8.745 % |
|    443205 | 3914436  9821929 | 7978215  441417 473395082  1072.4 |  8.746 % |
|    664888 | 3914640  9821830 | 8776037  662719 655169015   988.6 |  8.748 % |
|    997415 | 3914954  9821752 | 9653640  994790 936981665   941.9 |  8.751 % |
