Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915823  9825320 | 1305274       0        0     nan |  0.000 % |
|       109 | 3915824  9825320 | 1435801     108    28583   264.7 |  8.669 % |
|       262 | 3915828  9825320 | 1579381     256    58468   228.4 |  8.669 % |
|       492 | 3915833  9825320 | 1737319     480   127722   266.1 |  8.669 % |
|       834 | 3915835  9825320 | 1911051     819   296040   361.5 |  8.669 % |
|      1340 | 3915835  9825320 | 2102156    1325  1089628   822.4 |  8.669 % |
|      2100 | 3915840  9825320 | 2312372    2079  2658311  1278.6 |  8.670 % |
|      3239 | 3915871  9825320 | 2543609    3187  3122946   979.9 |  8.670 % |
|      4948 | 3915864  9825302 | 2797970    4884  8626560  1766.3 |  8.670 % |
|      7510 | 3915913  9825302 | 3077767    7397  9508153  1285.4 |  8.670 % |
|     11355 | 3892147  9786174 | 3385544    9756  4293455   440.1 |  9.256 % |
|     17121 | 3892156  9786100 | 3724099   15437  5982289   387.5 |  9.259 % |
|     25770 | 3891933  9785785 | 4096508   24006 11775435   490.5 |  9.263 % |
|     38744 | 3891970  9785671 | 4506159   36833 18328284   497.6 |  9.265 % |
|     58205 | 3892057  9785638 | 4956775   56146 42148929   750.7 |  9.267 % |
|     87400 | 3892139  9785584 | 5452453   85183 67084270   787.5 |  9.268 % |
|    131191 | 3892193  9785461 | 5997698  128780 105166850   816.6 |  9.271 % |
|    196875 | 3892342  9785434 | 6597468  194266 157335490   809.9 |  9.272 % |
|    295404 | 3892460  9785332 | 7257215  292539 238598765   815.6 |  9.273 % |
|    443195 | 3892660  9785323 | 7982937  440085 364172642   827.5 |  9.277 % |
|    664880 | 3892735  9785065 | 8781230  661405 555403060   839.7 |  9.279 % |
|    997405 | 3892845  9784957 | 9659353  993640 835298428   840.6 |  9.281 % |
