Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916421  9826912 | 1305473       0        0     nan |  0.000 % |
|       109 | 3916422  9826912 | 1436020     108    28583   264.7 |  8.655 % |
|       260 | 3916426  9826912 | 1579622     254    56295   221.6 |  8.655 % |
|       485 | 3916428  9826912 | 1737584     477    82484   172.9 |  8.655 % |
|       823 | 3916432  9826912 | 1911343     811   215130   265.3 |  8.655 % |
|      1330 | 3916442  9826912 | 2102477    1308   416062   318.1 |  8.655 % |
|      2090 | 3916453  9826912 | 2312725    2057   616016   299.5 |  8.655 % |
|      3229 | 3916460  9826912 | 2543997    3188   901763   282.9 |  8.655 % |
|      4938 | 3916464  9826912 | 2798397    4893  1475164   301.5 |  8.655 % |
|      7502 | 3916498  9826894 | 3078237    7406  2836448   383.0 |  9.243 % |
|     11347 | 3916541  9826894 | 3386060   11208  5205573   464.5 |  9.243 % |
|     17113 | 3893498  9789944 | 3724666   16809  7841496   466.5 |  9.243 % |
|     25762 | 3893535  9789935 | 4097133   25412 10784519   424.4 |  9.251 % |
|     38736 | 3893462  9789770 | 4506846   38279 16271465   425.1 |  9.251 % |
|     58199 | 3893553  9789680 | 4957531   57544 24051053   418.0 |  9.264 % |
|     87391 | 3893131  9789002 | 5453284   86500 43459352   502.4 |  9.267 % |
|    131180 | 3892834  9788438 | 5998613  129938 75081192   577.8 |  9.273 % |
|    196864 | 3892947  9788318 | 6598474  195390 122410985   626.5 |  9.275 % |
|    295397 | 3892469  9787346 | 7258321  293703 199445883   679.1 |  9.300 % |
|    443189 | 3891020  9785162 | 7984154  441104 324773626   736.3 |  9.321 % |
|    664872 | 3889596  9783266 | 8782569  662275 517048882   780.7 |  9.360 % |
|    997397 | 3889866  9783215 | 9660826  994429 801957302   806.5 |  9.405 % |
