Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917778  9828498 | 1305926       0        0     nan |  0.000 % |
|       109 | 3917779  9828498 | 1436518     108    28583   264.7 |  8.617 % |
|       259 | 3917787  9828498 | 1580170     249    66053   265.3 |  8.618 % |
|       485 | 3917789  9828498 | 1738187     473   131203   277.4 |  8.618 % |
|       823 | 3917802  9828498 | 1912006     798   169520   212.4 |  8.618 % |
|      1330 | 3917812  9828498 | 2103206    1295   327129   252.6 |  8.618 % |
|      2091 | 3917821  9828489 | 2313527    2040   416147   204.0 |  8.618 % |
|      3230 | 3917833  9828489 | 2544880    3167   817563   258.2 |  8.618 % |
|      4939 | 3917873  9828489 | 2799368    4834  1447727   299.5 |  8.618 % |
|      7502 | 3917914  9828471 | 3079305    7338  3364016   458.4 |  9.304 % |
|     11349 | 3891643  9787855 | 3387235   10844  3588140   330.9 |  9.305 % |
|     17115 | 3891609  9787768 | 3725959   16578  5689955   343.2 |  9.307 % |
|     25765 | 3891681  9787759 | 4098555   25141  7517182   299.0 |  9.328 % |
|     38739 | 3890365  9785677 | 4508410   37966 11682174   307.7 |  9.339 % |
|     58200 | 3890402  9785563 | 4959251   57277 17444661   304.6 |  9.342 % |
|     87395 | 3890350  9785272 | 5455176   86249 35303552   409.3 |  9.351 % |
|    131184 | 3889937  9784507 | 6000694  129753 62954875   485.2 |  9.360 % |
|    196868 | 3890011  9784375 | 6600764  195213 113792257   582.9 |  9.488 % |
|    295394 | 3883764  9776666 | 7260840  291431 190033799   652.1 |  9.508 % |
|    443187 | 3883986  9776513 | 7986924  438828 295364571   673.1 |  9.514 % |
|    664872 | 3882476  9774260 | 8785617  660013 476155495   721.4 |  9.555 % |
|    997401 | 3882296  9773630 | 9664178  992120 768793584   774.9 |  9.565 % |
