Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917505  9829336 | 1305835       0        0     nan |  0.000 % |
|       109 | 3917506  9829336 | 1436418     108    28583   264.7 |  8.619 % |
|       260 | 3917513  9829336 | 1580060     251    43608   173.7 |  8.619 % |
|       485 | 3917520  9829336 | 1738066     468   117038   250.1 |  8.619 % |
|       824 | 3917520  9829336 | 1911873     807   237035   293.7 |  8.619 % |
|      1332 | 3917528  9829336 | 2103060    1307   590422   451.7 |  8.619 % |
|      2095 | 3917538  9829336 | 2313366    2060   883655   429.0 |  8.619 % |
|      3234 | 3917554  9829336 | 2544702    3183  2005459   630.1 |  8.619 % |
|      4942 | 3917530  9829249 | 2799173    4874  2922259   599.6 |  8.619 % |
|      7504 | 3917544  9829222 | 3079090    7399  5315363   718.4 |  8.619 % |
|     11349 | 3917588  9829222 | 3386999   11198  9219579   823.3 |  8.620 % |
|     17116 | 3917593  9829222 | 3725699   16954 18263525  1077.2 |  8.620 % |
|     25767 | 3917692  9829222 | 4098269   25499 23857774   935.6 |  8.620 % |
|     38742 | 3917754  9829195 | 4508096   38378 31298547   815.5 |  8.620 % |
|     58203 | 3917468  9828721 | 4958906   57652 40114525   695.8 |  9.583 % |
|     87396 | 3883261  9777502 | 5454796   86362 58699643   679.7 |  9.667 % |
|    131187 | 3880450  9773742 | 6000276  129683 93488137   720.9 |  9.670 % |
|    196871 | 3880310  9773178 | 6600304  195038 148688209   762.4 |  9.678 % |
|    295400 | 3880243  9772674 | 7260334  293161 218071975   743.9 |  9.762 % |
|    443192 | 3876358  9767123 | 7986368  439467 336578847   765.9 |  9.789 % |
|    664875 | 3876086  9766448 | 8785004  660749 515963260   780.9 |  9.796 % |
|    997403 | 3875907  9765563 | 9663505  992686 801235008   807.1 |  9.809 % |
