Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918038  9829447 | 1306012       0        0     nan |  0.000 % |
|       109 | 3918039  9829447 | 1436613     108    28583   264.7 |  8.607 % |
|       259 | 3918048  9829447 | 1580274     247    39559   160.2 |  8.607 % |
|       485 | 3918050  9829447 | 1738301     471    86828   184.3 |  8.607 % |
|       824 | 3918053  9829447 | 1912132     807   144972   179.6 |  8.607 % |
|      1330 | 3918091  9829447 | 2103345    1275   247903   194.4 |  8.607 % |
|      2089 | 3918104  9829447 | 2313679    2021   491746   243.3 |  8.607 % |
|      3228 | 3918102  9829420 | 2545047    3140  1054735   335.9 |  8.607 % |
|      4939 | 3918114  9829420 | 2799552    4839  3428517   708.5 |  8.607 % |
|      7501 | 3918149  9829411 | 3079507    7358  4451095   604.9 |  8.607 % |
|     11346 | 3918170  9829411 | 3387458   11182  6843998   612.1 |  8.607 % |
|     17112 | 3918215  9829402 | 3726204   16895 10480520   620.3 |  8.607 % |
|     25764 | 3918277  9829366 | 4098825   25448 15226574   598.3 |  8.608 % |
|     38738 | 3918368  9829348 | 4508707   38309 25375656   662.4 |  8.608 % |
|     58199 | 3918468  9829312 | 4959578   57630 38524353   668.5 |  8.609 % |
|     87393 | 3918554  9829276 | 5455536   86693 78731229   908.2 |  8.610 % |
|    131182 | 3918597  9829195 | 6001089  130350 114740255   880.2 |  8.611 % |
|    196866 | 3918773  9829141 | 6601198  195796 163377250   834.4 |  8.613 % |
|    295393 | 3918547  9828721 | 7261318  294119 241487539   821.1 |  8.618 % |
|    443184 | 3918826  9828658 | 7987450  441528 356439333   807.3 |  8.620 % |
|    664868 | 3919108  9828550 | 8786195  662736 539946414   814.7 |  8.622 % |
|    997395 | 3919482  9828478 | 9664815  994776 816864784   821.2 |  8.625 % |
