Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917355  9827811 | 1305785       0        0     nan |  0.000 % |
|       109 | 3917356  9827811 | 1436363     108    28583   264.7 |  8.631 % |
|       260 | 3917360  9827811 | 1579999     254    56295   221.6 |  8.631 % |
|       485 | 3917362  9827811 | 1737999     477    82484   172.9 |  8.631 % |
|       823 | 3917367  9827811 | 1911799     810   161710   199.6 |  8.631 % |
|      1331 | 3917373  9827811 | 2102979    1311   393140   299.9 |  8.631 % |
|      2090 | 3917379  9827811 | 2313277    2064  1133555   549.2 |  8.631 % |
|      3230 | 3917352  9827766 | 2544605    3192  1728272   541.4 |  8.632 % |
|      4938 | 3917362  9827766 | 2799066    4889  3193895   653.3 |  8.632 % |
|      7500 | 3917395  9827766 | 3078972    7418  4710892   635.1 |  8.632 % |
|     11344 | 3917441  9827766 | 3386869   11207  5953589   531.2 |  8.632 % |
|     17111 | 3917190  9827430 | 3725556   16890  7444640   440.8 |  8.637 % |
|     25762 | 3917266  9827403 | 4098112   25437 12663511   497.8 |  8.638 % |
|     38736 | 3917318  9827376 | 4507923   38333 21081807   550.0 |  8.638 % |
|     58199 | 3917460  9827349 | 4958716   57623 34015255   590.3 |  8.639 % |
|     87400 | 3893737  9789308 | 5454588   86218 54540271   632.6 |  9.248 % |
|    131190 | 3893858  9789272 | 6000046  129848 88334813   680.3 |  9.249 % |
|    196875 | 3893923  9789218 | 6600051  195382 140062639   716.9 |  9.252 % |
|    295402 | 3893904  9789020 | 7260056  293692 222579615   757.9 |  9.254 % |
|    443193 | 3891601  9785662 | 7986062  440833 336717459   763.8 |  9.309 % |
|    664876 | 3891861  9785644 | 8784668  662183 515310691   778.2 |  9.503 % |
|    997401 | 3883327  9774086 | 9663135  992929 810032722   815.8 |  9.529 % |
