Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917576  9829379 | 1305858       0        0     nan |  0.000 % |
|       109 | 3917577  9829379 | 1436443     108    28583   264.7 |  8.617 % |
|       260 | 3917584  9829379 | 1580088     251    43608   173.7 |  8.617 % |
|       511 | 3917587  9829379 | 1738096     498   207094   415.9 |  8.617 % |
|       848 | 3917587  9829379 | 1911906     833   358132   429.9 |  8.617 % |
|      1354 | 3917610  9829379 | 2103097    1315   438007   333.1 |  8.617 % |
|      2113 | 3917631  9829379 | 2313407    2052   509589   248.3 |  8.618 % |
|      3252 | 3884440  9779971 | 2544747    2657   488496   183.9 |  9.567 % |
|      4961 | 3884478  9779971 | 2799222    4326   994085   229.8 |  9.578 % |
|      7530 | 3884020  9779383 | 3079144    6826  1880537   275.5 |  9.624 % |
|     11374 | 3881856  9776743 | 3387059   10648  2994749   281.2 |  9.636 % |
|     17143 | 3881704  9776500 | 3725765   16362  4829071   295.1 |  9.658 % |
|     25793 | 3881202  9776074 | 4098341   24953  8274431   331.6 |  9.658 % |
|     38767 | 3881191  9776047 | 4508175   37917  9950166   262.4 |  9.658 % |
|     58228 | 3881206  9775837 | 4958993   57158 18166177   317.8 |  9.677 % |
|     87422 | 3880682  9775108 | 5454892   86154 39243166   455.5 |  9.679 % |
|    131212 | 3880634  9774835 | 6000382  129741 64798474   499.4 |  9.688 % |
|    196898 | 3879526  9772670 | 6600420  194577 109299185   561.7 |  9.769 % |
|    295426 | 3877275  9769760 | 7260462  292679 189862429   648.7 |  9.779 % |
|    443216 | 3877490  9769643 | 7986508  440088 302563512   687.5 |  9.781 % |
|    664901 | 3877796  9769598 | 8785159  661362 483878309   731.6 |  9.797 % |
|    997426 | 3876701  9767936 | 9663675  993518 734702984   739.5 |  9.816 % |
