Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915720  9825361 | 1305240       0        0     nan |  0.000 % |
|       109 | 3915721  9825361 | 1435764     108    28583   264.7 |  8.669 % |
|       265 | 3915730  9825361 | 1579340     253    42592   168.3 |  8.670 % |
|       490 | 3915748  9825361 | 1737274     460    83696   181.9 |  8.670 % |
|       827 | 3915754  9825361 | 1911001     791   161626   204.3 |  8.670 % |
|      1333 | 3915758  9825361 | 2102102    1293   469588   363.2 |  8.670 % |
|      2094 | 3915770  9825361 | 2312312    2042   789363   386.6 |  8.670 % |
|      3237 | 3915783  9825361 | 2543543    3172  1802671   568.3 |  8.670 % |
|      4946 | 3915784  9825343 | 2797897    4865  2616315   537.8 |  8.670 % |
|      7509 | 3915823  9825343 | 3077687    7384  4127133   558.9 |  8.670 % |
|     11353 | 3915839  9825289 | 3385456   11166  5898231   528.2 |  8.671 % |
|     17120 | 3915862  9825253 | 3724002   16873  9560046   566.6 |  8.671 % |
|     25770 | 3915924  9825244 | 4096402   25441 14110784   554.6 |  8.672 % |
|     38745 | 3915993  9825190 | 4506042   38287 30115835   786.6 |  8.672 % |
|     58206 | 3916060  9825127 | 4956646   57620 44155576   766.3 |  8.673 % |
|     87401 | 3916170  9825091 | 5452311   86661 66096151   762.7 |  8.674 % |
|    131190 | 3916267  9825028 | 5997542  130271 104435108   801.7 |  8.675 % |
|    196875 | 3916483  9824947 | 6597296  195645 150503050   769.3 |  8.679 % |
|    295404 | 3916758  9824947 | 7257026  293899 209144648   711.6 |  8.679 % |
|    443194 | 3916627  9824461 | 7982729  441300 326081417   738.9 |  8.685 % |
|    664877 | 3917037  9824344 | 8781002  662429 493059890   744.3 |  8.687 % |
|    997402 | 3917675  9824191 | 9659102  994097 732242447   736.6 |  9.907 % |
