Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917299  9827789 | 1305766       0        0     nan |  0.000 % |
|       109 | 3917300  9827789 | 1436342     108    28583   264.7 |  8.633 % |
|       260 | 3917319  9827789 | 1579976     239    50969   213.3 |  8.633 % |
|       487 | 3917322  9827789 | 1737974     463   112413   242.8 |  8.633 % |
|       825 | 3917324  9827789 | 1911772     799   140304   175.6 |  8.633 % |
|      1331 | 3917330  9827789 | 2102949    1299   289574   222.9 |  8.633 % |
|      2091 | 3917340  9827789 | 2313244    2048  1114118   544.0 |  8.633 % |
|      3234 | 3917346  9827789 | 2544568    3184  1447958   454.8 |  8.633 % |
|      4945 | 3917341  9827771 | 2799025    4883  2158730   442.1 |  8.633 % |
|      7508 | 3917377  9827771 | 3078927    7407  3554539   479.9 |  8.633 % |
|     11352 | 3917399  9827753 | 3386820   11208  6001983   535.5 |  8.633 % |
|     17119 | 3917451  9827753 | 3725502   16923  8553285   505.4 |  8.633 % |
|     25769 | 3917583  9827744 | 4098053   25431 12193376   479.5 |  8.634 % |
|     38743 | 3917672  9827717 | 4507858   38293 20566938   537.1 |  8.634 % |
|     58205 | 3917762  9827690 | 4958644   57640 35938839   623.5 |  8.634 % |
|     87398 | 3917859  9827663 | 5454508   86700 56250153   648.8 |  8.635 % |
|    131187 | 3918242  9827648 | 5999959  130088 86535638   665.2 |  8.638 % |
|    196871 | 3918295  9827270 | 6599955  195330 139149034   712.4 |  9.253 % |
|    295398 | 3894835  9789430 | 7259950  292222 212329699   726.6 |  9.257 % |
|    443187 | 3892652  9786165 | 7985946  439410 301279387   685.6 |  9.331 % |
|    664871 | 3891983  9784626 | 8784540  660383 470438382   712.4 |  9.354 % |
|    997398 | 3891064  9782895 | 9662994  992094 773361737   779.5 |  9.380 % |
