Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917975  9828336 | 1305991       0        0     nan |  0.000 % |
|       109 | 3917976  9828336 | 1436590     108    28583   264.7 |  8.615 % |
|       259 | 3917980  9828336 | 1580249     253    54741   216.4 |  8.615 % |
|       484 | 3917980  9828336 | 1738274     477   152978   320.7 |  8.615 % |
|       822 | 3917984  9828336 | 1912101     811   202064   249.2 |  8.615 % |
|      1329 | 3917986  9828336 | 2103311    1316   431384   327.8 |  8.615 % |
|      2092 | 3917992  9828336 | 2313642    2071   927578   447.9 |  8.615 % |
|      3231 | 3917913  9828213 | 2545006    3162  1055500   333.8 |  8.616 % |
|      4959 | 3917927  9828213 | 2799507    4875  1196382   245.4 |  8.616 % |
|      7521 | 3917985  9828213 | 3079458    7379  2507279   339.8 |  8.616 % |
|     11365 | 3917929  9828111 | 3387404   11173  5192961   464.8 |  8.618 % |
|     17133 | 3917981  9828093 | 3726144   16869  7525783   446.1 |  8.622 % |
|     25782 | 3917817  9827784 | 4098759   25396 13837317   544.9 |  8.622 % |
|     38756 | 3917919  9827730 | 4508635   38211 23388483   612.1 |  8.623 % |
|     58217 | 3917976  9827694 | 4959498   57573 37960371   659.3 |  8.624 % |
|     87409 | 3918134  9827622 | 5455448   86540 57042089   659.1 |  8.625 % |
|    131198 | 3918391  9827604 | 6000993  130042 87505413   672.9 |  8.626 % |
|    196882 | 3918506  9827451 | 6601092  195456 134288669   687.1 |  8.627 % |
|    295408 | 3918720  9827340 | 7261201  293653 211799832   721.3 |  8.630 % |
|    443197 | 3918886  9827262 | 7987322  441105 325926325   738.9 |  8.633 % |
|    664881 | 3919149  9827208 | 8786054  662434 504785593   762.0 |  8.636 % |
|    997406 | 3919277  9827055 | 9664659  994598 819730325   824.2 |  8.639 % |
