Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917574  9829380 | 1305858       0        0     nan |  0.000 % |
|       109 | 3917575  9829380 | 1436443     108    28583   264.7 |  8.617 % |
|       259 | 3917584  9829380 | 1580088     247    39559   160.2 |  8.618 % |
|       485 | 3917586  9829380 | 1738096     471    86829   184.4 |  8.618 % |
|       824 | 3917589  9829380 | 1911906     807   122012   151.2 |  8.618 % |
|      1335 | 3917592  9829380 | 2103097    1315   582300   442.8 |  8.618 % |
|      2094 | 3917599  9829380 | 2313407    2067  1043516   504.8 |  8.618 % |
|      3237 | 3917631  9829380 | 2544747    3177  1426312   448.9 |  8.618 % |
|      4946 | 3917640  9829362 | 2799222    4846  2652845   547.4 |  8.619 % |
|      7508 | 3917606  9829353 | 3079144    7392  4454959   602.7 |  8.619 % |
|     11352 | 3917635  9829344 | 3387059   11195  6182001   552.2 |  8.619 % |
|     17118 | 3917678  9829344 | 3725765   16914  9389948   555.2 |  8.619 % |
|     25768 | 3917722  9829326 | 4098341   25496 13158850   516.1 |  8.619 % |
|     38744 | 3917782  9829326 | 4508175   38410 21596908   562.3 |  8.619 % |
|     58205 | 3917824  9829299 | 4958993   57802 30853760   533.8 |  8.620 % |
|     87397 | 3917875  9829173 | 5454892   86811 51197525   589.8 |  8.622 % |
|    131187 | 3917962  9829128 | 6000382  130462 83520753   640.2 |  8.623 % |
|    196873 | 3918072  9828912 | 6600420  195787 132434083   676.4 |  8.626 % |
|    295401 | 3918057  9828609 | 7260462  294026 200711409   682.6 |  8.631 % |
|    443190 | 3885020  9778541 | 7986508  440936 307930042   698.4 |  9.588 % |
|    664873 | 3884974  9777950 | 8785159  662187 479529044   724.2 |  9.598 % |
|    997398 | 3885222  9777869 | 9663675  994251 778547724   783.0 |  9.672 % |
