Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915786  9825612 | 1305262       0        0     nan |  0.000 % |
|       109 | 3915787  9825612 | 1435788     108    28583   264.7 |  8.670 % |
|       260 | 3915791  9825612 | 1579367     254    56295   221.6 |  8.670 % |
|       485 | 3915793  9825612 | 1737303     477    82484   172.9 |  8.670 % |
|       824 | 3915796  9825612 | 1911034     812   213308   262.7 |  8.670 % |
|      1330 | 3915809  9825612 | 2102137    1305   535429   410.3 |  8.670 % |
|      2089 | 3915815  9825612 | 2312351    2058   941133   457.3 |  8.670 % |
|      3229 | 3915829  9825612 | 2543586    3182  1312217   412.4 |  8.670 % |
|      4940 | 3915819  9825585 | 2797945    4874  2047589   420.1 |  8.670 % |
|      7503 | 3915864  9825585 | 3077739    7388  3065998   415.0 |  8.671 % |
|     11347 | 3915873  9825558 | 3385513   11192  5435849   485.7 |  8.671 % |
|     17114 | 3915793  9825435 | 3724064   16905  9015920   533.3 |  8.674 % |
|     25768 | 3915698  9825294 | 4096471   25505 16268690   637.9 |  8.675 % |
|     38742 | 3915823  9825294 | 4506118   38353 21126582   550.8 |  8.675 % |
|     58203 | 3915939  9825249 | 4956730   57644 37508264   650.7 |  8.676 % |
|     87395 | 3916103  9825222 | 5452403   86633 58689823   677.5 |  8.678 % |
|    131184 | 3916101  9825066 | 5997643  130239 94271103   723.8 |  8.679 % |
|    196868 | 3916200  9824976 | 6597407  195724 144515954   738.4 |  8.680 % |
|    295394 | 3916107  9824640 | 7257148  294006 224898737   764.9 |  8.686 % |
|    443184 | 3916244  9824502 | 7982863  441483 353342909   800.4 |  8.689 % |
|    664870 | 3916602  9824430 | 8781150  662691 531777955   802.5 |  8.691 % |
|    997401 | 3916742  9824331 | 9659265  994917 851238829   855.6 |  8.695 % |
