Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916499  9826236 | 1305499       0        0     nan |  0.000 % |
|       109 | 3916500  9826236 | 1436048     108    28583   264.7 |  8.666 % |
|       260 | 3916504  9826236 | 1579653     254    56295   221.6 |  8.666 % |
|       487 | 3916509  9826236 | 1737619     476   137046   287.9 |  8.666 % |
|       824 | 3916509  9826236 | 1911381     813   215625   265.2 |  8.666 % |
|      1331 | 3916525  9826236 | 2102519    1304   428916   328.9 |  8.666 % |
|      2090 | 3916534  9826236 | 2312771    2053   740492   360.7 |  8.666 % |
|      3230 | 3916540  9826236 | 2544048    3187  1745882   547.8 |  8.666 % |
|      4944 | 3916543  9826218 | 2798453    4883  2517309   515.5 |  8.666 % |
|      7508 | 3916573  9826218 | 3078298    7415  3855491   520.0 |  8.666 % |
|     11353 | 3916606  9826218 | 3386128   11217  5890133   525.1 |  8.666 % |
|     17122 | 3916617  9826209 | 3724741   16968  8765876   516.6 |  8.666 % |
|     25771 | 3916694  9826209 | 4097215   25533 14262291   558.6 |  8.667 % |
|     38747 | 3916805  9826191 | 4506936   38369 25890198   674.8 |  8.668 % |
|     58209 | 3916917  9826128 | 4957630   57644 38525142   668.3 |  8.668 % |
|     87401 | 3917068  9826056 | 5453393   86599 62392145   720.5 |  8.670 % |
|    131190 | 3917232  9826011 | 5998732  130169 99877296   767.3 |  8.671 % |
|    196878 | 3917326  9825885 | 6598605  195611 157773325   806.6 |  8.673 % |
|    295407 | 3917293  9825519 | 7258466  293774 239408942   814.9 |  8.681 % |
|    443196 | 3917220  9825297 | 7984313  441371 362894331   822.2 |  8.682 % |
|    664880 | 3917471  9825207 | 8782744  662671 547862142   826.7 |  8.685 % |
|    997405 | 3917468  9825039 | 9661018  994907 859583352   864.0 |  8.690 % |
