Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916506  9826229 | 1305502       0        0     nan |  0.000 % |
|       109 | 3916507  9826229 | 1436052     108    28583   264.7 |  8.666 % |
|       259 | 3916513  9826229 | 1579657     251    35385   141.0 |  8.666 % |
|       492 | 3916516  9826229 | 1737623     481    93093   193.5 |  8.666 % |
|       830 | 3916525  9826229 | 1911385     810   267928   330.8 |  8.666 % |
|      1336 | 3916546  9826229 | 2102524    1295   302708   233.8 |  8.666 % |
|      2095 | 3916548  9826229 | 2312776    2052   450271   219.4 |  8.666 % |
|      3235 | 3916569  9826220 | 2544054    3163   798752   252.5 |  8.666 % |
|      4946 | 3916570  9826220 | 2798459    4873  1436311   294.7 |  8.666 % |
|      7508 | 3916598  9826211 | 3078305    7398  3007851   406.6 |  8.669 % |
|     11354 | 3916383  9825911 | 3386135   11181  5928847   530.3 |  8.670 % |
|     17120 | 3916400  9825911 | 3724749   16930  8533787   504.1 |  8.670 % |
|     25769 | 3916489  9825911 | 4097224   25490 11627050   456.1 |  8.670 % |
|     38743 | 3899913  9798946 | 4506946   38076 15026905   394.7 |  9.308 % |
|     58206 | 3892810  9790367 | 4957641   52364 27515202   525.5 |  9.332 % |
|     87399 | 3892889  9790340 | 5453405   81379 56089165   689.2 |  9.333 % |
|    131190 | 3892918  9790160 | 5998746  124978 93346318   746.9 |  9.339 % |
|    196877 | 3892491  9789566 | 6598621  189860 148004336   779.5 |  9.358 % |
|    295403 | 3892393  9789119 | 7258483  288066 223470508   775.8 |  9.363 % |
|    443195 | 3887909  9783752 | 7984331  435441 335571985   770.6 |  9.470 % |
|    664878 | 3886338  9781492 | 8782764  656638 507243918   772.5 |  9.510 % |
|    997404 | 3886383  9781324 | 9661041  988771 785582133   794.5 |  9.516 % |
