Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918541  9829562 | 1306180       0        0     nan |  0.000 % |
|       109 | 3918542  9829562 | 1436798     108    28583   264.7 |  8.596 % |
|       260 | 3918549  9829562 | 1580477     251    43608   173.7 |  8.596 % |
|       486 | 3918550  9829562 | 1738525     476   115347   242.3 |  8.596 % |
|       827 | 3918554  9829562 | 1912378     813   164006   201.7 |  8.596 % |
|      1335 | 3918565  9829562 | 2103615    1310   306328   233.8 |  8.596 % |
|      2095 | 3918568  9829562 | 2313977    2067   888740   430.0 |  8.596 % |
|      3236 | 3918593  9829562 | 2545375    3183  1482068   465.6 |  8.596 % |
|      4944 | 3918604  9829553 | 2799912    4871  2001349   410.9 |  8.597 % |
|      7515 | 3918653  9829520 | 3079904    7364  3098060   420.7 |  9.317 % |
|     11359 | 3918712  9829520 | 3387894   11146  4961293   445.1 |  9.322 % |
|     17125 | 3891094  9786421 | 3726683   16786 11688282   696.3 |  9.323 % |
|     25777 | 3891162  9786403 | 4099352   25346 17789342   701.9 |  9.323 % |
|     38751 | 3891147  9786322 | 4509287   38249 25861799   676.1 |  9.324 % |
|     58218 | 3891295  9786277 | 4960216   57525 39527160   687.1 |  9.325 % |
|     87413 | 3891443  9786277 | 5456238   86570 68262843   788.5 |  9.325 % |
|    131203 | 3891555  9786028 | 6001861  130111 97858311   752.1 |  9.328 % |
|    196889 | 3891685  9785974 | 6602047  195582 153871885   786.7 |  9.329 % |
|    295422 | 3891536  9785566 | 7262252  293853 229217032   780.0 |  9.336 % |
|    443211 | 3891698  9785512 | 7988478  441393 338909114   767.8 |  9.337 % |
|    664898 | 3890018  9782888 | 8787325  662100 512789501   774.5 |  9.667 % |
|    997438 | 3879035  9766476 | 9666058  992737 776901374   782.6 |  9.671 % |
