Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913448  9822721 | 1304482       0        0     nan |  0.000 % |
|       109 | 3913449  9822721 | 1434930     108    28583   264.7 |  8.734 % |
|       259 | 3913462  9822721 | 1578423     243    37844   155.7 |  8.734 % |
|       487 | 3913468  9822721 | 1736265     465    71808   154.4 |  8.734 % |
|       825 | 3913469  9822721 | 1909892     802   250001   311.7 |  8.734 % |
|      1332 | 3913492  9822721 | 2100881    1286   297601   231.4 |  8.734 % |
|      2091 | 3913502  9822721 | 2310969    2035   540825   265.8 |  8.734 % |
|      3231 | 3913508  9822721 | 2542066    3169   866466   273.4 |  8.734 % |
|      4940 | 3913506  9822703 | 2796273    4865  1930160   396.7 |  8.734 % |
|      7504 | 3913537  9822694 | 3075900    7388  3038522   411.3 |  8.738 % |
|     11349 | 3913567  9822694 | 3383490   11203  4463787   398.4 |  8.738 % |
|     17118 | 3913279  9822262 | 3721839   16847  7117902   422.5 |  8.740 % |
|     25768 | 3913310  9822226 | 4094023   25431 20732174   815.2 |  8.740 % |
|     38743 | 3913359  9822217 | 4503425   38337 38983176  1016.9 |  8.741 % |
|     58204 | 3913440  9822217 | 4953768   57715 49883858   864.3 |  8.741 % |
|     87397 | 3913569  9822181 | 5449145   86741 72783591   839.1 |  8.741 % |
|    131187 | 3913734  9822154 | 5994059  130325 110450177   847.5 |  8.743 % |
|    196873 | 3913840  9821956 | 6593465  195703 166081382   848.6 |  8.745 % |
|    295399 | 3914103  9821884 | 7252812  293872 247963268   843.8 |  8.747 % |
|    443189 | 3914228  9821767 | 7978093  441361 367027889   831.6 |  8.749 % |
|    664877 | 3914478  9821722 | 8775902  662691 552223727   833.3 |  8.752 % |
|    997407 | 3914697  9821623 | 9653492  994815 839190035   843.6 |  8.754 % |
