Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917613  9829406 | 1305871       0        0     nan |  0.000 % |
|       109 | 3917614  9829406 | 1436458     108    28583   264.7 |  8.616 % |
|       260 | 3917621  9829406 | 1580103     251    43608   173.7 |  8.616 % |
|       487 | 3917642  9829406 | 1738114     456    73511   161.2 |  8.617 % |
|       824 | 3917648  9829406 | 1911925     787   196541   249.7 |  8.617 % |
|      1330 | 3917654  9829406 | 2103118    1287   566368   440.1 |  8.617 % |
|      2090 | 3917673  9829406 | 2313430    2028  1104412   544.6 |  8.617 % |
|      3229 | 3917679  9829406 | 2544773    3161  2716318   859.3 |  8.617 % |
|      4942 | 3917670  9829319 | 2799250    4843  3714714   767.0 |  8.617 % |
|      7504 | 3917704  9829319 | 3079175    7370  4960800   673.1 |  8.617 % |
|     11348 | 3917742  9829292 | 3387093   11152  7592458   680.8 |  8.617 % |
|     17117 | 3917753  9829283 | 3725802   16875 10617612   629.2 |  8.617 % |
|     25772 | 3917776  9829256 | 4098382   25474 15754225   618.4 |  8.618 % |
|     38748 | 3917625  9828950 | 4508220   38312 31687922   827.1 |  8.623 % |
|     58209 | 3917617  9828764 | 4959042   57543 43022111   747.7 |  8.625 % |
|     87403 | 3917588  9828566 | 5454947   86554 56829608   656.6 |  8.628 % |
|    131192 | 3917706  9828539 | 6000441  130195 81727536   627.7 |  8.629 % |
|    196876 | 3917981  9828476 | 6600486  195533 126763185   648.3 |  8.630 % |
|    295402 | 3882241  9775373 | 7260534  293326 192073009   654.8 |  9.646 % |
|    443192 | 3881939  9774641 | 7986588  440755 304195601   690.2 |  9.649 % |
|    664875 | 3879760  9771163 | 8785247  661649 454623888   687.1 |  9.733 % |
|    997407 | 3875964  9765692 | 9663771  992337 761353785   767.2 |  9.816 % |
