Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915770  9825337 | 1305256       0        0     nan |  0.000 % |
|       109 | 3915771  9825337 | 1435781     108    28583   264.7 |  8.671 % |
|       262 | 3915775  9825337 | 1579359     256    58468   228.4 |  8.671 % |
|       492 | 3915780  9825337 | 1737295     480   127722   266.1 |  8.671 % |
|       831 | 3915782  9825337 | 1911025     817   285192   349.1 |  8.671 % |
|      1337 | 3915791  9825337 | 2102127    1313   401084   305.5 |  8.671 % |
|      2098 | 3915801  9825337 | 2312340    2064   903548   437.8 |  8.671 % |
|      3237 | 3915787  9825301 | 2543574    3181  1336014   420.0 |  8.671 % |
|      4945 | 3915808  9825301 | 2797932    4868  1716479   352.6 |  8.671 % |
|      7507 | 3915820  9825283 | 3077725    7402  4778989   645.6 |  8.671 % |
|     11351 | 3915871  9825283 | 3385497   11192  6929002   619.1 |  8.672 % |
|     17117 | 3915850  9825247 | 3724047   16922 11717873   692.5 |  8.672 % |
|     25767 | 3915880  9825220 | 4096452   25508 20167882   790.6 |  8.673 % |
|     38747 | 3915902  9825166 | 4506097   38408 30601822   796.8 |  8.674 % |
|     58211 | 3915988  9825130 | 4956707   57753 45547799   788.7 |  8.674 % |
|     87403 | 3916117  9825103 | 5452378   86778 71683275   826.1 |  8.675 % |
|    131198 | 3916148  9824959 | 5997616  130382 111682351   856.6 |  8.677 % |
|    196884 | 3916239  9824905 | 6597377  195913 165507762   844.8 |  8.679 % |
|    295414 | 3916065  9824527 | 7257115  294201 246244266   837.0 |  8.684 % |
|    443204 | 3916206  9824401 | 7982826  441688 366611243   830.0 |  8.687 % |
|    664887 | 3916375  9824284 | 8781109  663031 561120062   846.3 |  8.689 % |
|    997414 | 3916610  9824248 | 9659220  995246 839204121   843.2 |  8.691 % |
