Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913440  9822736 | 1304480       0        0     nan |  0.000 % |
|       109 | 3913441  9822736 | 1434928     108    28583   264.7 |  8.735 % |
|       259 | 3913447  9822736 | 1578420     251    35385   141.0 |  8.735 % |
|       485 | 3913451  9822736 | 1736262     473    89597   189.4 |  8.735 % |
|       824 | 3913454  9822736 | 1909889     809   205861   254.5 |  8.735 % |
|      1330 | 3913458  9822736 | 2100878    1311   326428   249.0 |  8.735 % |
|      2094 | 3913479  9822736 | 2310965    2051   620694   302.6 |  8.735 % |
|      3233 | 3913452  9822691 | 2542062    3177   997513   314.0 |  8.735 % |
|      4949 | 3913471  9822691 | 2796268    4871  1804350   370.4 |  8.736 % |
|      7512 | 3913496  9822691 | 3075895    7408  2792496   377.0 |  8.736 % |
|     11360 | 3913514  9822664 | 3383485   11211  6088187   543.1 |  8.736 % |
|     17126 | 3913525  9822646 | 3721833   16945  8323987   491.2 |  8.736 % |
|     25776 | 3913575  9822592 | 4094017   25499 14646418   574.4 |  8.737 % |
|     38752 | 3913644  9822565 | 4503418   38384 22876157   596.0 |  8.737 % |
|     58216 | 3913760  9822529 | 4953760   57696 37296693   646.4 |  8.738 % |
|     87410 | 3913876  9822502 | 5449136   86741 63046556   726.8 |  8.738 % |
|    131200 | 3914090  9822502 | 5994050  130304 83440253   640.4 |  8.738 % |
|    196884 | 3914008  9822217 | 6593455  195747 131699050   672.8 |  8.743 % |
|    295411 | 3913957  9821803 | 7252800  293887 205459103   699.1 |  8.749 % |
|    443201 | 3914220  9821758 | 7978081  441332 312561418   708.2 |  8.751 % |
|    664884 | 3914447  9821668 | 8775889  662646 495915391   748.4 |  8.754 % |
|    997410 | 3914618  9821542 | 9653478  994790 771584660   775.6 |  8.758 % |
