Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915735  9825557 | 1305245       0        0     nan |  0.000 % |
|       109 | 3915736  9825557 | 1435769     108    28583   264.7 |  8.670 % |
|       260 | 3915741  9825557 | 1579346     253    61840   244.4 |  8.670 % |
|       485 | 3915747  9825557 | 1737281     471   100480   213.3 |  8.670 % |
|       825 | 3915747  9825557 | 1911009     811   226432   279.2 |  8.670 % |
|      1332 | 3915749  9825557 | 2102110    1316   496343   377.2 |  8.670 % |
|      2091 | 3915758  9825557 | 2312321    2064   748012   362.4 |  8.671 % |
|      3230 | 3915777  9825557 | 2543553    3183  1204338   378.4 |  8.671 % |
|      4938 | 3915758  9825521 | 2797908    4877  1708199   350.3 |  8.671 % |
|      7503 | 3915779  9825503 | 3077699    7400  2710081   366.2 |  8.671 % |
|     11350 | 3915800  9825503 | 3385469   11223  4643401   413.7 |  8.671 % |
|     17116 | 3915855  9825485 | 3724016   16911  7787646   460.5 |  8.671 % |
|     25770 | 3915664  9825194 | 4096417   25485 12852451   504.3 |  8.677 % |
|     38746 | 3915616  9825059 | 4506059   38363 24399777   636.0 |  8.677 % |
|     58207 | 3915688  9825032 | 4956665   57724 40496389   701.6 |  8.678 % |
|     87400 | 3915722  9824996 | 5452332   86847 62814106   723.3 |  8.679 % |
|    131189 | 3915943  9824978 | 5997565  130380 90082409   690.9 |  8.680 % |
|    196873 | 3916125  9824888 | 6597322  195793 123867692   632.6 |  8.680 % |
|    295400 | 3916287  9824711 | 7257054  293946 195952740   666.6 |  8.684 % |
|    443193 | 3916684  9824675 | 7982759  441267 296916986   672.9 |  8.686 % |
|    664885 | 3916903  9824612 | 8781035  662639 497770769   751.2 |  8.688 % |
|    997411 | 3917109  9824531 | 9659139  994803 805395249   809.6 |  8.690 % |
