Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917227  9827695 | 1305742       0        0     nan |  0.000 % |
|       109 | 3917228  9827695 | 1436316     108    28583   264.7 |  8.633 % |
|       261 | 3917233  9827695 | 1579947     254    49151   193.5 |  8.633 % |
|       491 | 3917236  9827695 | 1737942     481   197708   411.0 |  8.633 % |
|       829 | 3917238  9827695 | 1911736     816   424457   520.2 |  8.633 % |
|      1341 | 3917249  9827695 | 2102910    1316   629380   478.3 |  8.634 % |
|      2100 | 3917252  9827695 | 2313201    2071   944915   456.3 |  8.634 % |
|      3240 | 3917252  9827695 | 2544521    3211  1354946   422.0 |  8.634 % |
|      4951 | 3917245  9827659 | 2798973    4900  2273829   464.0 |  8.634 % |
|      7513 | 3917289  9827659 | 3078871    7417  3663442   493.9 |  8.634 % |
|     11358 | 3917329  9827641 | 3386758   11205  5017123   447.8 |  8.638 % |
|     17124 | 3917191  9827353 | 3725434   16831  7392206   439.2 |  9.223 % |
|     25774 | 3894272  9790619 | 4097977   25125 12262357   488.1 |  9.223 % |
|     38750 | 3894280  9790532 | 4507775   38013 19728300   519.0 |  9.225 % |
|     58214 | 3894386  9790505 | 4958553   57337 35915954   626.4 |  9.226 % |
|     87409 | 3894501  9790460 | 5454408   86373 57253722   662.9 |  9.227 % |
|    131200 | 3894482  9790202 | 5999849  130036 89882869   691.2 |  9.229 % |
|    196886 | 3894554  9790130 | 6599834  195554 144825808   740.6 |  9.232 % |
|    295412 | 3894660  9789959 | 7259817  293781 218173700   742.6 |  9.234 % |
|    443201 | 3894835  9789860 | 7985799  441269 334996136   759.2 |  9.236 % |
|    664888 | 3894961  9789752 | 8784379  662647 529918121   799.7 |  9.239 % |
|    997418 | 3895226  9789734 | 9662817  994851 797863876   802.0 |  9.245 % |
