Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913448  9822466 | 1304482       0        0     nan |  0.000 % |
|       109 | 3913449  9822466 | 1434930     108    28583   264.7 |  8.733 % |
|       261 | 3913455  9822466 | 1578423     253    34461   136.2 |  8.733 % |
|       486 | 3913458  9822466 | 1736265     475   102248   215.3 |  8.733 % |
|       824 | 3913460  9822466 | 1909892     811   234805   289.5 |  8.733 % |
|      1332 | 3913461  9822466 | 2100881    1318   272627   206.8 |  8.733 % |
|      2092 | 3913476  9822466 | 2310969    2061   543104   263.5 |  8.734 % |
|      3232 | 3913490  9822466 | 2542066    3187  1224260   384.1 |  8.734 % |
|      4940 | 3913476  9822448 | 2796273    4892  1438897   294.1 |  8.734 % |
|      7504 | 3913482  9822448 | 3075900    7450  2223068   298.4 |  8.734 % |
|     11348 | 3913544  9822448 | 3383490   11232  3214528   286.2 |  8.734 % |
|     17114 | 3897020  9794669 | 3721839   16700  5293103   317.0 |  9.124 % |
|     25764 | 3897056  9794594 | 4094023   25249  9827395   389.2 |  9.124 % |
|     38739 | 3897087  9794381 | 4503425   38091 17381465   456.3 |  9.127 % |
|     58206 | 3897163  9794324 | 4953768   57412 40366211   703.1 |  9.129 % |
|     87399 | 3897317  9794159 | 5449145   86305 60206177   697.6 |  9.131 % |
|    131188 | 3897335  9794006 | 5994059  129889 94185353   725.1 |  9.134 % |
|    196873 | 3896924  9793505 | 6593465  195311 146938199   752.3 |  9.154 % |
|    295400 | 3897046  9793397 | 7252812  293591 229401301   781.4 |  9.156 % |
|    443190 | 3897225  9793352 | 7978093  441133 351330266   796.4 |  9.158 % |
|    664875 | 3897435  9793280 | 8775902  662485 540036843   815.2 |  9.160 % |
|    997401 | 3897627  9793217 | 9653492  994718 851464126   856.0 |  9.161 % |
