Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918061  9828384 | 1306020       0        0     nan |  0.000 % |
|       109 | 3918062  9828384 | 1436622     108    28583   264.7 |  8.613 % |
|       259 | 3918068  9828384 | 1580284     251    63017   251.1 |  8.613 % |
|       484 | 3918072  9828384 | 1738312     472   226759   480.4 |  8.613 % |
|       822 | 3918077  9828384 | 1912143     805   338854   420.9 |  8.613 % |
|      1329 | 3918081  9828384 | 2103358    1308   417877   319.5 |  8.613 % |
|      2089 | 3918092  9828384 | 2313694    2056   555096   270.0 |  8.614 % |
|      3231 | 3917998  9828285 | 2545063    3189   971165   304.5 |  8.615 % |
|      4940 | 3918010  9828285 | 2799569    4886  2297862   470.3 |  8.615 % |
|      7502 | 3918162  9828276 | 3079526    7289  6283420   862.0 |  8.615 % |
|     11347 | 3918190  9828276 | 3387479   11106  9755147   878.4 |  8.615 % |
|     17115 | 3918247  9828276 | 3726227   16813 15735839   935.9 |  8.615 % |
|     25764 | 3918331  9828249 | 4098850   25348 20077870   792.1 |  8.615 % |
|     38738 | 3918449  9828213 | 4508735   38165 26945734   706.0 |  8.616 % |
|     58199 | 3918548  9828150 | 4959608   57454 38983466   678.5 |  8.618 % |
|     87391 | 3918538  9828015 | 5455569   86534 68743210   794.4 |  8.619 % |
|    131184 | 3918632  9827925 | 6001126  130139 104949887   806.4 |  8.620 % |
|    196868 | 3918755  9827889 | 6601239  195641 150973162   771.7 |  8.623 % |
|    295396 | 3918533  9827421 | 7261363  293891 229677437   781.5 |  8.628 % |
|    443185 | 3918684  9827322 | 7987499  441407 342955094   777.0 |  8.630 % |
|    664869 | 3918944  9827232 | 8786249  662669 534470921   806.5 |  8.632 % |
|    997396 | 3919148  9827178 | 9664874  994891 822452936   826.7 |  8.634 % |
