Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913437  9822478 | 1304479       0        0     nan |  0.000 % |
|       109 | 3913438  9822478 | 1434926     108    28583   264.7 |  8.734 % |
|       262 | 3913442  9822478 | 1578419     256    58478   228.4 |  8.734 % |
|       488 | 3913447  9822478 | 1736261     476   124046   260.6 |  8.734 % |
|       827 | 3913451  9822478 | 1909887     811   181822   224.2 |  8.734 % |
|      1333 | 3913458  9822478 | 2100876    1310   589096   449.7 |  8.734 % |
|      2092 | 3913464  9822478 | 2310964    2063   949065   460.0 |  8.734 % |
|      3232 | 3913472  9822469 | 2542060    3186  1819193   571.0 |  8.734 % |
|      4947 | 3913489  9822469 | 2796266    4881  2491884   510.5 |  8.734 % |
|      7509 | 3913524  9822460 | 3075893    7390  3246974   439.4 |  8.735 % |
|     11353 | 3913553  9822442 | 3383482   11186  6409123   573.0 |  8.735 % |
|     17121 | 3913605  9822442 | 3721830   16899  9681675   572.9 |  8.735 % |
|     25773 | 3913619  9822415 | 4094013   25512 14415627   565.1 |  8.736 % |
|     38749 | 3913683  9822361 | 4503415   38368 25073559   653.5 |  8.736 % |
|     58217 | 3913752  9822307 | 4953756   57702 41447886   718.3 |  8.738 % |
|     87409 | 3913860  9822262 | 5449132   86740 64284950   741.1 |  8.738 % |
|    131200 | 3913957  9822199 | 5994045  130367 102043539   782.7 |  8.740 % |
|    196884 | 3914437  9822145 | 6593450  195503 140323997   717.8 |  8.741 % |
|    295411 | 3914536  9822001 | 7252795  293760 219488505   747.2 |  8.747 % |
|    443200 | 3914449  9821608 | 7978074  441240 351508164   796.6 |  8.748 % |
|    664883 | 3914687  9821572 | 8775882  662592 559548380   844.5 |  8.750 % |
|    997411 | 3914827  9821455 | 9653470  994791 856701954   861.2 |  8.752 % |
