Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917968  9828334 | 1305989       0        0     nan |  0.000 % |
|       109 | 3917969  9828334 | 1436587     108    28583   264.7 |  8.615 % |
|       260 | 3917973  9828334 | 1580246     254    56295   221.6 |  8.615 % |
|       485 | 3917975  9828334 | 1738271     477    82484   172.9 |  8.615 % |
|       822 | 3917980  9828334 | 1912098     809   192497   237.9 |  8.615 % |
|      1330 | 3917981  9828334 | 2103308    1316   675784   513.5 |  8.615 % |
|      2093 | 3917999  9828334 | 2313639    2057   953241   463.4 |  8.616 % |
|      3235 | 3917984  9828271 | 2545003    3163  1316285   416.2 |  8.616 % |
|      4943 | 3918015  9828271 | 2799503    4838  1809529   374.0 |  8.616 % |
|      7505 | 3918039  9828271 | 3079453    7376  3166403   429.3 |  8.616 % |
|     11350 | 3918072  9828262 | 3387399   11177  5012667   448.5 |  8.616 % |
|     17118 | 3918155  9828253 | 3726139   16850  7123779   422.8 |  8.617 % |
|     25767 | 3918240  9828217 | 4098752   25382 11344634   447.0 |  8.617 % |
|     38742 | 3918462  9828208 | 4508628   38124 19393009   508.7 |  8.617 % |
|     58203 | 3918585  9828202 | 4959491   57430 38246620   666.0 |  8.618 % |
|     87396 | 3918673  9828178 | 5455440   86512 50078335   578.9 |  8.618 % |
|    131187 | 3895210  9790749 | 6000984  129720 82114333   633.0 |  9.212 % |
|    196874 | 3882267  9773873 | 6601082  193660 118310418   610.9 |  9.524 % |
|    295400 | 3881613  9772574 | 7261190  291634 194870271   668.2 |  9.544 % |
|    443192 | 3881798  9772466 | 7987309  439020 311855242   710.3 |  9.547 % |
|    664877 | 3881926  9772160 | 8786040  660224 491109964   743.9 |  9.553 % |
|    997403 | 3882183  9771971 | 9664645  992264 775391324   781.4 |  9.556 % |
