Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915737  9825577 | 1305245       0        0     nan |  0.000 % |
|       109 | 3915738  9825577 | 1435769     108    28583   264.7 |  8.671 % |
|       260 | 3915743  9825577 | 1579346     253    61840   244.4 |  8.671 % |
|       485 | 3915749  9825577 | 1737281     471   100480   213.3 |  8.671 % |
|       824 | 3915749  9825577 | 1911009     810   185566   229.1 |  8.671 % |
|      1331 | 3915757  9825577 | 2102110    1309   290132   221.6 |  8.671 % |
|      2092 | 3915775  9825577 | 2312321    2048   474258   231.6 |  8.672 % |
|      3231 | 3915781  9825577 | 2543553    3180  1850674   582.0 |  8.672 % |
|      4941 | 3915764  9825532 | 2797908    4862  2278201   468.6 |  8.672 % |
|      7507 | 3915805  9825532 | 3077699    7387  3005609   406.9 |  8.672 % |
|     11351 | 3915796  9825514 | 3385469   11219 13360738  1190.9 |  8.672 % |
|     17117 | 3915863  9825505 | 3724016   16905 17228865  1019.2 |  8.673 % |
|     25769 | 3915913  9825451 | 4096417   25456 22249925   874.1 |  8.673 % |
|     38753 | 3916054  9825424 | 4506059   38263 28043963   732.9 |  8.674 % |
|     58214 | 3916189  9825406 | 4956665   57555 41103372   714.2 |  8.675 % |
|     87406 | 3916125  9825217 | 5452332   86605 61795320   713.5 |  8.677 % |
|    131195 | 3916231  9825190 | 5997565  130252 101306636   777.8 |  8.678 % |
|    196881 | 3916400  9825154 | 6597322  195720 150224026   767.5 |  8.680 % |
|    295407 | 3916265  9824746 | 7257054  293979 223925802   761.7 |  8.685 % |
|    443196 | 3916350  9824602 | 7982759  441491 338504227   766.7 |  8.687 % |
|    664883 | 3916668  9824539 | 8781035  662770 499271037   753.3 |  8.689 % |
|    997408 | 3916823  9824470 | 9659139  994981 796928062   800.9 |  8.692 % |
