Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915735  9825267 | 1305245       0        0     nan |  0.000 % |
|       109 | 3915736  9825267 | 1435769     108    28583   264.7 |  8.670 % |
|       259 | 3915741  9825267 | 1579346     252    35431   140.6 |  8.670 % |
|       484 | 3915745  9825267 | 1737281     473   130059   275.0 |  8.670 % |
|       823 | 3915747  9825267 | 1911009     810   256662   316.9 |  8.670 % |
|      1329 | 3915759  9825267 | 2102110    1304   500331   383.7 |  8.670 % |
|      2092 | 3915774  9825267 | 2312321    2050   783617   382.3 |  8.671 % |
|      3233 | 3915778  9825267 | 2543553    3187  1151183   361.2 |  8.671 % |
|      4941 | 3915763  9825240 | 2797908    4887  1858062   380.2 |  8.671 % |
|      7504 | 3915804  9825240 | 3077699    7407  3259765   440.1 |  8.671 % |
|     11350 | 3915806  9825213 | 3385469   11226  5300946   472.2 |  8.671 % |
|     17118 | 3915858  9825213 | 3724016   16939  7300940   431.0 |  8.672 % |
|     25768 | 3915905  9825150 | 4096417   25476 12625706   495.6 |  8.672 % |
|     38744 | 3915939  9825141 | 4506059   38403 23721895   617.7 |  8.672 % |
|     58206 | 3915966  9825141 | 4956665   57833 50282826   869.4 |  8.673 % |
|     87401 | 3916153  9825087 | 5452332   86779 72793356   838.8 |  8.674 % |
|    131191 | 3916526  9825060 | 5997565  130168 112810302   866.7 |  8.674 % |
|    196875 | 3916723  9825024 | 6597322  195603 162073612   828.6 |  8.675 % |
|    295401 | 3916818  9824925 | 7257054  293918 243716945   829.2 |  8.680 % |
|    443190 | 3916700  9824577 | 7982759  441465 367529242   832.5 |  8.683 % |
|    664873 | 3916828  9824481 | 8781035  662830 552944648   834.2 |  8.686 % |
|    997398 | 3916985  9824409 | 9659139  995065 838124888   842.3 |  8.689 % |
