Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915748  9825367 | 1305249       0        0     nan |  0.000 % |
|       109 | 3915749  9825367 | 1435773     108    28583   264.7 |  8.670 % |
|       265 | 3915758  9825367 | 1579351     253    42592   168.3 |  8.670 % |
|       491 | 3915769  9825367 | 1737286     468    99282   212.1 |  8.670 % |
|       831 | 3915775  9825367 | 1911015     801   164419   205.3 |  8.670 % |
|      1338 | 3915784  9825367 | 2102116    1299   398151   306.5 |  8.670 % |
|      2103 | 3915794  9825367 | 2312328    2054   843209   410.5 |  8.670 % |
|      3242 | 3915803  9825367 | 2543561    3184  2787147   875.4 |  8.670 % |
|      4952 | 3915804  9825340 | 2797917    4870  3600207   739.3 |  8.670 % |
|      7520 | 3915792  9825295 | 3077708    7407  5548233   749.1 |  8.671 % |
|     11368 | 3915806  9825295 | 3385479   11239  7167014   637.7 |  8.671 % |
|     17134 | 3915851  9825262 | 3724027   16933 11331148   669.2 |  8.671 % |
|     25783 | 3915930  9825244 | 4096430   25463 17144412   673.3 |  8.672 % |
|     38758 | 3915959  9825217 | 4506073   38374 28505903   742.8 |  8.672 % |
|     58221 | 3916016  9825199 | 4956680   57752 42992625   744.4 |  8.673 % |
|     87413 | 3916042  9825109 | 5452348   86837 73549268   847.0 |  8.674 % |
|    131203 | 3916126  9825100 | 5997583  130526 108440128   830.8 |  8.675 % |
|    196887 | 3916275  9825064 | 6597342  196015 158676757   809.5 |  8.676 % |
|    295416 | 3916139  9824659 | 7257076  294268 253615168   861.9 |  8.681 % |
|    443207 | 3916341  9824614 | 7982784  441792 381011563   862.4 |  8.682 % |
|    664890 | 3916310  9824311 | 8781062  663124 581403505   876.8 |  8.689 % |
|    997415 | 3916341  9824164 | 9659168  995341 872423371   876.5 |  8.691 % |
