Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915818  9825355 | 1305272       0        0     nan |  0.000 % |
|       109 | 3915819  9825355 | 1435799     108    28583   264.7 |  8.669 % |
|       259 | 3915832  9825355 | 1579379     243    38132   156.9 |  8.670 % |
|       487 | 3915836  9825355 | 1737317     467    73411   157.2 |  8.670 % |
|       825 | 3915839  9825355 | 1911048     802   112102   139.8 |  8.670 % |
|      1332 | 3915855  9825355 | 2102153    1293   550206   425.5 |  8.670 % |
|      2091 | 3915865  9825355 | 2312368    2041  1043944   511.5 |  8.670 % |
|      3230 | 3915869  9825355 | 2543605    3176  1544229   486.2 |  8.670 % |
|      4939 | 3915886  9825337 | 2797966    4848  2166723   446.9 |  8.670 % |
|      7501 | 3915897  9825319 | 3077763    7378  4764400   645.8 |  8.670 % |
|     11347 | 3915973  9825319 | 3385539   11143  6081510   545.8 |  8.671 % |
|     17113 | 3915979  9825274 | 3724093   16864  9508464   563.8 |  8.671 % |
|     25764 | 3916024  9825265 | 4096502   25457 17849458   701.2 |  8.671 % |
|     38739 | 3916108  9825265 | 4506152   38341 27447493   715.9 |  8.672 % |
|     58200 | 3916093  9825184 | 4956768   57735 48754303   844.4 |  8.673 % |
|     87396 | 3916186  9825157 | 5452445   86802 72957604   840.5 |  8.673 % |
|    131185 | 3916344  9825076 | 5997689  130335 109932634   843.5 |  8.674 % |
|    196869 | 3892163  9784827 | 6597458  195518 149170964   763.0 |  9.278 % |
|    295401 | 3892310  9784764 | 7257204  293779 233221099   793.9 |  9.286 % |
|    443196 | 3892204  9784356 | 7982924  441244 363547164   823.9 |  9.288 % |
|    664880 | 3889677  9781145 | 8781217  662401 551366505   832.4 |  9.348 % |
|    997406 | 3889797  9781055 | 9659339  994587 847790343   852.4 |  9.351 % |
