Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918141  9829528 | 1306047       0        0     nan |  0.000 % |
|       109 | 3918142  9829528 | 1436651     108    28583   264.7 |  8.605 % |
|       260 | 3918149  9829528 | 1580316     251    43608   173.7 |  8.605 % |
|       486 | 3918151  9829528 | 1738348     474   196128   413.8 |  8.605 % |
|       823 | 3918154  9829528 | 1912183     808   494929   612.5 |  8.605 % |
|      1333 | 3918162  9829528 | 2103401    1310   722462   551.5 |  8.605 % |
|      2095 | 3918174  9829528 | 2313741    2060   918478   445.9 |  8.605 % |
|      3239 | 3918181  9829528 | 2545116    3195  1494356   467.7 |  8.605 % |
|      4950 | 3918199  9829432 | 2799627    4838  2058109   425.4 |  8.605 % |
|      7512 | 3918231  9829432 | 3079590    7367  4291955   582.6 |  8.605 % |
|     11357 | 3918289  9829432 | 3387549   11150  5620393   504.1 |  8.605 % |
|     17124 | 3918387  9829423 | 3726304   16802 10453461   622.2 |  8.606 % |
|     25773 | 3918453  9829414 | 4098934   25368 16661994   656.8 |  8.606 % |
|     38751 | 3918262  9829132 | 4508828   38266 22126065   578.2 |  8.610 % |
|     58212 | 3918272  9829033 | 4959711   57605 29551997   513.0 |  8.611 % |
|     87404 | 3886356  9780515 | 5455682   85740 42246455   492.7 |  9.507 % |
|    131195 | 3879094  9771194 | 6001250  128209 66490455   518.6 |  9.673 % |
|    196879 | 3879260  9771104 | 6601375  193616 120127777   620.4 |  9.681 % |
|    295406 | 3878715  9769841 | 7261513  291679 171184424   586.9 |  9.709 % |
|    443196 | 3878300  9768821 | 7987664  438884 277295531   631.8 |  9.709 % |
|    664880 | 3877047  9766565 | 8786431  659828 460496832   697.9 |  9.749 % |
|    997408 | 3876633  9765611 | 9665074  991817 737687286   743.8 |  9.767 % |
