Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913444  9822480 | 1304481       0        0     nan |  0.000 % |
|       109 | 3913445  9822480 | 1434929     108    28583   264.7 |  8.734 % |
|       262 | 3913449  9822480 | 1578422     256    58468   228.4 |  8.734 % |
|       488 | 3913452  9822480 | 1736264     477   127233   266.7 |  8.734 % |
|       825 | 3913463  9822480 | 1909890     801   364100   454.6 |  8.734 % |
|      1332 | 3913467  9822480 | 2100879    1303   538101   413.0 |  8.734 % |
|      2093 | 3913490  9822480 | 2310967    2041   684807   335.5 |  8.734 % |
|      3237 | 3913501  9822480 | 2542064    3174  1927150   607.2 |  8.734 % |
|      4945 | 3913480  9822444 | 2796270    4870  2578743   529.5 |  8.734 % |
|      7507 | 3913478  9822426 | 3075897    7414  3708879   500.3 |  8.735 % |
|     11352 | 3913511  9822426 | 3383487   11226  5130166   457.0 |  8.735 % |
|     17119 | 3913598  9822426 | 3721836   16901  7886688   466.6 |  8.735 % |
|     25769 | 3913599  9822363 | 4094020   25486 12295525   482.4 |  8.736 % |
|     38743 | 3913667  9822327 | 4503422   38357 25018107   652.2 |  8.736 % |
|     58204 | 3913738  9822318 | 4953764   57734 41574212   720.1 |  8.737 % |
|     87397 | 3913745  9822246 | 5449140   86804 64317439   741.0 |  8.738 % |
|    131186 | 3913843  9822228 | 5994054  130460 100290040   768.7 |  8.739 % |
|    196870 | 3913912  9822111 | 6593460  195942 158954405   811.2 |  8.741 % |
|    295396 | 3914314  9822093 | 7252806  294020 223221907   759.2 |  8.746 % |
|    443186 | 3914158  9821628 | 7978087  441478 343782535   778.7 |  8.748 % |
|    664871 | 3914452  9821592 | 8775895  662792 532317382   803.1 |  8.750 % |
|    997397 | 3914579  9821466 | 9653485  995019 862813299   867.1 |  8.752 % |
