Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918070  9829484 | 1306023       0        0     nan |  0.000 % |
|       109 | 3918071  9829484 | 1436625     108    28583   264.7 |  8.606 % |
|       260 | 3918078  9829484 | 1580287     251    43608   173.7 |  8.606 % |
|       485 | 3918086  9829484 | 1738316     467   139416   298.5 |  8.607 % |
|       823 | 3918088  9829484 | 1912148     802   367684   458.5 |  8.607 % |
|      1329 | 3918101  9829484 | 2103363    1295   493386   381.0 |  8.607 % |
|      2091 | 3918114  9829484 | 2313699    2043   721967   353.4 |  8.607 % |
|      3230 | 3918126  9829484 | 2545069    3170  1182962   373.2 |  8.607 % |
|      4943 | 3918081  9829379 | 2799576    4874  2195017   450.4 |  8.607 % |
|      7513 | 3918139  9829379 | 3079533    7385  3079375   417.0 |  8.607 % |
|     11357 | 3918156  9829370 | 3387487   11205  4347829   388.0 |  8.607 % |
|     17125 | 3918171  9829370 | 3726236   16958  6663603   392.9 |  8.607 % |
|     25775 | 3918231  9829343 | 4098859   25512 15195879   595.6 |  8.608 % |
|     38760 | 3918383  9829343 | 4508745   38334 21251137   554.4 |  8.608 % |
|     58221 | 3918421  9829307 | 4959620   57722 35641427   617.5 |  8.609 % |
|     87413 | 3918534  9829235 | 5455582   86727 54196410   624.9 |  8.610 % |
|    131202 | 3918639  9829163 | 6001140  130327 83179841   638.2 |  8.611 % |
|    196886 | 3918532  9828845 | 6601254  195800 118086607   603.1 |  8.615 % |
|    295412 | 3885605  9779138 | 7261379  293711 159792337   544.0 |  9.521 % |
|    443202 | 3884667  9777548 | 7987517  440936 274601028   622.8 |  9.547 % |
|    664885 | 3884890  9777338 | 8786269  662076 441117983   666.3 |  9.552 % |
|    997410 | 3885239  9776906 | 9664896  993820 735755145   740.3 |  9.560 % |
