Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916360  9826859 | 1305453       0        0     nan |  0.000 % |
|       109 | 3916361  9826859 | 1435998     108    28583   264.7 |  8.656 % |
|       261 | 3916368  9826859 | 1579598     252    46849   185.9 |  8.656 % |
|       487 | 3916368  9826859 | 1737557     478   133365   279.0 |  8.656 % |
|       826 | 3916368  9826859 | 1911313     817   198341   242.8 |  8.656 % |
|      1332 | 3916388  9826859 | 2102445    1303   241119   185.0 |  8.656 % |
|      2094 | 3916385  9826832 | 2312689    2045   834832   408.2 |  8.656 % |
|      3234 | 3916393  9826832 | 2543958    3176  1187804   374.0 |  8.656 % |
|      4944 | 3916415  9826832 | 2798354    4864  2064364   424.4 |  8.656 % |
|      7506 | 3916433  9826823 | 3078189    7397  3912900   529.0 |  8.657 % |
|     11350 | 3916483  9826823 | 3386008   11186  5418197   484.4 |  8.657 % |
|     17116 | 3916449  9826724 | 3724609   16899 10793567   638.7 |  8.658 % |
|     25765 | 3916474  9826697 | 4097070   25485 14123885   554.2 |  8.659 % |
|     38741 | 3916505  9826643 | 4506777   38379 21733346   566.3 |  8.660 % |
|     58202 | 3916614  9826643 | 4957455   57730 28950177   501.5 |  8.660 % |
|     87400 | 3916662  9826544 | 5453201   86794 49687598   572.5 |  8.661 % |
|    131191 | 3916791  9826508 | 5998521  130416 75454169   578.6 |  8.662 % |
|    196876 | 3916969  9826418 | 6598373  195830 148026042   755.9 |  8.663 % |
|    295405 | 3917130  9826364 | 7258210  294121 219979461   747.9 |  8.664 % |
|    443198 | 3916985  9825932 | 7984031  441584 334713316   758.0 |  8.672 % |
|    664881 | 3894190  9788943 | 8782434  662133 502896399   759.5 |  9.274 % |
|    997406 | 3894365  9788916 | 9660678  994405 783672179   788.1 |  9.276 % |
