Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917297  9827782 | 1305765       0        0     nan |  0.000 % |
|       109 | 3917298  9827782 | 1436341     108    28583   264.7 |  8.632 % |
|       259 | 3917302  9827782 | 1579975     253    50321   198.9 |  8.632 % |
|       487 | 3917305  9827782 | 1737973     478   148008   309.6 |  8.632 % |
|       824 | 3917310  9827782 | 1911770     810   256191   316.3 |  8.632 % |
|      1330 | 3917317  9827782 | 2102947    1308   429744   328.6 |  8.632 % |
|      2089 | 3917327  9827782 | 2313242    2056   670740   326.2 |  8.633 % |
|      3234 | 3917311  9827755 | 2544566    3192  1476993   462.7 |  8.633 % |
|      4942 | 3917332  9827755 | 2799023    4878  2815597   577.2 |  8.633 % |
|      7505 | 3917374  9827755 | 3078925    7398  4512800   610.0 |  8.633 % |
|     11349 | 3917426  9827737 | 3386818   11176  6326143   566.0 |  8.633 % |
|     17115 | 3917477  9827719 | 3725499   16870  8795586   521.4 |  8.633 % |
|     25764 | 3917526  9827710 | 4098049   25456 14322652   562.6 |  8.634 % |
|     38739 | 3917610  9827683 | 4507854   38315 20462864   534.1 |  8.634 % |
|     58200 | 3917704  9827656 | 4958640   57652 31003890   537.8 |  8.634 % |
|     87394 | 3917797  9827656 | 5454504   86753 45201098   521.0 |  8.634 % |
|    131183 | 3917624  9827269 | 5999954  130321 64203804   492.7 |  8.641 % |
|    196867 | 3876855  9768494 | 6599950  185252 93741227   506.0 |  9.796 % |
|    295395 | 3877007  9768485 | 7259945  283565 131661767   464.3 |  9.798 % |
|    443195 | 3877478  9768248 | 7985939  430517 227403408   528.2 |  9.814 % |
|    664881 | 3874739  9763974 | 8784533  651240 338281423   519.4 |  9.891 % |
|    997407 | 3874578  9762954 | 9662987  982870 573844670   583.8 |  9.903 % |
|   1496195 | 3873698  9760869 | 10629286 1480332 992149568   670.2 |  9.950 % |
