Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916908  9827745 | 1305636       0        0     nan |  0.000 % |
|       109 | 3916909  9827745 | 1436199     108    28583   264.7 |  8.638 % |
|       260 | 3916915  9827745 | 1579819     252    68924   273.5 |  8.638 % |
|       487 | 3916920  9827745 | 1737801     474   127205   268.4 |  8.638 % |
|       825 | 3916922  9827745 | 1911581     810   218731   270.0 |  8.638 % |
|      1331 | 3916928  9827745 | 2102739    1310   583210   445.2 |  8.638 % |
|      2091 | 3916934  9827745 | 2313013    2064  1091240   528.7 |  8.638 % |
|      3233 | 3916935  9827736 | 2544315    3196  1762504   551.5 |  8.639 % |
|      4941 | 3916977  9827736 | 2798746    4856  2284822   470.5 |  8.639 % |
|      7503 | 3916946  9827682 | 3078621    7397  3270241   442.1 |  8.639 % |
|     11352 | 3916958  9827664 | 3386483   11218  5441910   485.1 |  8.640 % |
|     17119 | 3916997  9827664 | 3725131   16943  9169749   541.2 |  8.640 % |
|     25777 | 3917019  9827610 | 4097645   25534 16576204   649.2 |  8.640 % |
|     38752 | 3917103  9827592 | 4507409   38408 28918838   752.9 |  8.641 % |
|     58218 | 3917178  9827556 | 4958150   57762 43692786   756.4 |  8.641 % |
|     87411 | 3917265  9827520 | 5453965   86819 68213592   785.7 |  8.642 % |
|    131202 | 3917303  9827421 | 5999362  130481 103101363   790.2 |  8.643 % |
|    196886 | 3917450  9827412 | 6599298  195990 160401487   818.4 |  8.644 % |
|    295415 | 3917352  9827058 | 7259228  294260 233753877   794.4 |  8.650 % |
|    443209 | 3917552  9826959 | 7985151  441739 356146893   806.2 |  8.651 % |
|    664893 | 3918027  9826821 | 8783666  662769 538141681   812.0 |  9.351 % |
|    997419 | 3891576  9785602 | 9662032  994169 831971995   836.9 |  9.359 % |
